#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         251       -0.64    0.503267   0.0257907
         252       -0.56    0.499048   0.0260312
         253        -0.6    0.494704   0.0262883
         254        -0.6    0.490394   0.0265357
         255       -0.56    0.486275   0.0267495
         256       -0.56    0.482187   0.0269554
         257       -0.56    0.478132   0.0271538
         258       -0.52    0.474264   0.0273228
         259       -0.48    0.470579   0.0274646
         260       -0.44    0.467077   0.0275813
         261       -0.44    0.463602   0.0276938
         262        -0.4    0.460305   0.0277835
         263        -0.4    0.457034   0.0278698
         264        -0.4    0.453788   0.0279526
         265        -0.4    0.450566   0.0280322
         266        -0.4    0.447368   0.0281086
         267        -0.4    0.444195   0.0281819
         268        -0.4    0.441045   0.0282523
         269       -0.44     0.43777   0.0283365
         270       -0.44    0.434519   0.0284174
         271       -0.44    0.431292   0.0284952
         272        -0.4    0.428235   0.0285538
         273       -0.44    0.425055   0.0286258
         274       -0.44    0.421898   0.0286949
         275       -0.36    0.419055   0.0287311
         276       -0.28    0.416522   0.0287384
         277       -0.28    0.414007   0.0287445
         278       -0.28    0.411511   0.0287493
         279       -0.28    0.409032   0.0287529
         280       -0.32    0.406429   0.0287678
         281       -0.28    0.403986    0.028769
         282       -0.28     0.40156    0.028769
         283       -0.28    0.399152    0.028768
         284       -0.28    0.396761   0.0287659
         285       -0.24    0.394526   0.0287516
         286       -0.16    0.392587   0.0287164
         287       -0.16    0.390662   0.0286808
         288       -0.16     0.38875   0.0286449
         289       -0.12     0.38699   0.0285998
         290       -0.16    0.385103   0.0285633
         291       -0.16     0.38323   0.0285265
         292       -0.12    0.381507   0.0284808
         293       -0.16    0.379659   0.0284435
         294       -0.08    0.378095   0.0283897
         295       -0.04    0.376678   0.0283288
         296       -0.08    0.375135   0.0282751
         297        -0.2    0.373199   0.0282461
         298       -0.24    0.371141   0.0282262
         299        -0.2    0.369231   0.0281964
         300       -0.24      0.3672   0.0281754
         301       -0.24    0.365183   0.0281539
         302        -0.2    0.363311   0.0281228
         303        -0.2    0.361452   0.0280914
         304       -0.16    0.359737   0.0280513
         305       -0.12    0.358164   0.0280034
         306       -0.12    0.356601   0.0279555
         307       -0.16    0.354919    0.027915
         308       -0.16    0.353247   0.0278744
         309       -0.04    0.351974   0.0278132
         310       -0.12    0.350452   0.0277651
         311        -0.2    0.348682   0.0277322
         312       -0.12    0.347179    0.027684
         313       -0.12    0.345687   0.0276357
         314       -0.08    0.344331    0.027581
         315       -0.04    0.343111   0.0275204
         316       -0.04    0.341899     0.02746
         317       -0.12    0.340442    0.027412
         318       -0.08    0.339119   0.0273577
         319       -0.04    0.337931   0.0272977
         320        0.04       0.337   0.0272283
         321           0     0.33595   0.0271637
         322        0.04    0.335031   0.0270949
         323           0    0.333994   0.0270308
         324       -0.04     0.33284    0.026972
         325       -0.04    0.331692   0.0269134
         326       -0.08    0.330429   0.0268605
         327       -0.08    0.329174   0.0268076
         328       -0.04    0.328049   0.0267495
         329       -0.08    0.326809    0.026697
         330       -0.12    0.325455   0.0266504
         331       -0.12    0.324109   0.0266038
         332       -0.08    0.322892   0.0265515
         333       -0.12    0.321562   0.0265051
         334       -0.16     0.32012   0.0264649
         335        -0.2    0.318567   0.0264314
         336       -0.28    0.316786   0.0264127
         337       -0.32    0.314896   0.0264018
         338       -0.32    0.313018   0.0263905
         339       -0.24    0.311386    0.026363
         340        -0.2    0.309882   0.0263283
         341        -0.2    0.308387   0.0262935
         342        -0.2    0.306901   0.0262586
         343       -0.24    0.305306   0.0262304
         344       -0.28    0.303605   0.0262093
         345       -0.24    0.302029   0.0261807
         346       -0.32    0.300231   0.0261667
         347       -0.36    0.298329   0.0261603
         348       -0.32    0.296552   0.0261454
         349       -0.28      0.2949   0.0261226
         350       -0.24    0.293371   0.0260927
         351       -0.12    0.292194   0.0260449
         352       -0.24    0.290682   0.0260148
         353       -0.28    0.289065   0.0259912
