#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.221756    0.221756           0
           2    0.216735    0.219245  0.00177536
           3    0.213051    0.217181  0.00205982
           4    0.210632    0.215544  0.00209678
           5    0.210279    0.214491   0.0019237
           6    0.214532    0.214497  0.00160309
           7    0.212494    0.214211  0.00139939
           8    0.216858    0.214542  0.00126297
           9    0.215337     0.21463  0.00112572
          10    0.215733    0.214741  0.00101853
          11      0.2117    0.214464  0.00096272
          12    0.215152    0.214522 0.000884197
          13    0.213346    0.214431 0.000820794
          14    0.211589    0.214228 0.000786865
          15    0.213735    0.214195 0.000735093
          16    0.213979    0.214182 0.000689273
          17     0.21377    0.214158 0.000649153
          18    0.217151    0.214324  0.00063403
          19    0.216524     0.21444 0.000611145
          20    0.210549    0.214245 0.000610758
