#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.33029     4.33029           0
           2     4.62066     4.47548     0.10266
           3     4.58213     4.51103   0.0743413
           4     4.42019     4.48832   0.0591227
           5     4.37124      4.4649   0.0517277
           6     4.42396     4.45808   0.0435542
           7     4.44709     4.45651   0.0373604
           8     4.35791     4.44418   0.0346639
           9      4.3675     4.43566   0.0318423
          10     4.25154     4.41725   0.0335621
          11     4.19561      4.3971   0.0360557
          12     4.32129     4.39078      0.0336
          13     4.24714     4.37973    0.032782
          14     4.28565     4.37301   0.0311216
          15     4.38955     4.37412   0.0290663
          16     4.54759     4.38496   0.0292019
          17     4.53326     4.39368   0.0287576
          18     4.54064     4.40185   0.0282951
          19     4.61265     4.41294   0.0288995
          20     4.19365     4.40198   0.0294612
