#   N_BLOCK:  ACCEPTANCE:
           1    0.279623
           2     0.27833
           3    0.278596
           4    0.278813
           5    0.278803
           6    0.279101
           7    0.279054
           8    0.279366
           9    0.279591
          10    0.279579
          11    0.279518
          12    0.279473
          13    0.279281
          14    0.279358
          15    0.279289
          16    0.279202
          17    0.279285
          18    0.279366
          19     0.27926
          20    0.279298
