#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.011572   -0.011572           0
           2    0.000196   -0.005688  0.00416062
           3    0.014688    0.001104  0.00620063
           4    0.003996    0.001827  0.00469244
           5   -0.017284  -0.0019952  0.00507735
           6    0.008142-0.000305667  0.00450347
           7    -0.00437-0.000886286  0.00389736
           8    0.006202    -2.5e-07  0.00350946
           9   -0.009368 -0.00104111  0.00327024
          10   -0.009318  -0.0018688  0.00304615
          11    0.030886  0.00110891  0.00396602
          12    0.009174    0.001781  0.00369203
          13   -0.004732     0.00128  0.00344185
          14   -0.017728-7.77143e-05  0.00345343
          15   -0.004698-0.000385733  0.00323691
          16   -0.005026 -0.00067575  0.00304756
          17     0.00922-9.36471e-05  0.00292336
          18    0.013802 0.000678333  0.00286106
          19    -0.01269-2.52632e-05  0.00279566
          20    0.002268    8.94e-05  0.00265823
