#   N_BLOCK:  ACCEPTANCE:
           1    0.151274
           2    0.152128
           3    0.152075
           4    0.151155
           5    0.150702
           6    0.150246
           7    0.150291
           8    0.150598
           9    0.150901
          10    0.150958
          11    0.150861
          12    0.150956
          13    0.150914
          14    0.151144
          15    0.151212
          16    0.151069
          17     0.15111
          18    0.150947
          19    0.150925
          20    0.150898
