#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.218805    0.218805           0
           2    0.215286    0.217046   0.0012442
           3    0.213014    0.215702  0.00137552
           4    0.208996    0.214025  0.00178114
           5    0.208984    0.213017  0.00168628
           6    0.214817    0.213317  0.00143166
           7    0.211238     0.21302  0.00125758
           8    0.215641    0.213348  0.00114225
           9     0.21315    0.213326  0.00101555
          10    0.214978    0.213491 0.000927337
          11    0.211132    0.213276 0.000867482
          12    0.213114    0.213263 0.000795297
          13    0.211331    0.213114  0.00074788
          14    0.210591    0.212934 0.000715845
          15    0.213703    0.212985 0.000669954
          16    0.212926    0.212982 0.000628092
          17    0.214113    0.213048 0.000594662
          18    0.214134    0.213108  0.00056468
          19    0.214537    0.213184 0.000539944
          20     0.20895    0.212972 0.000552885
