#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.483396   -0.483396           0
           2   -0.480116   -0.481756  0.00115966
           3   -0.483332   -0.482281 0.000884122
           4   -0.483168   -0.482503 0.000690321
           5    -0.48288   -0.482578 0.000556359
           6   -0.481788   -0.482447 0.000478975
           7   -0.482744   -0.482489 0.000412429
           8   -0.482124   -0.482444 0.000363392
           9   -0.482408    -0.48244 0.000323036
          10   -0.481072   -0.482303 0.000318367
          11   -0.481544   -0.482234 0.000296804
          12   -0.484528   -0.482425 0.000327913
          13   -0.483324   -0.482494 0.000309895
          14    -0.48104    -0.48239 0.000304669
          15   -0.482064   -0.482369 0.000285134
          16    -0.48342   -0.482434 0.000274781
          17   -0.482576   -0.482443 0.000258744
          18   -0.482648   -0.482454 0.000244621
          19   -0.483348   -0.482501 0.000236228
          20   -0.481344   -0.482443 0.000231393
