#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.00366     0.00366           0
           2    0.002162    0.002911 0.000529623
           3    0.003292    0.003038 0.000367994
           4   -0.001974    0.001785  0.00111968
           5    -0.00376    0.000676  0.00133651
           6   -0.007756-0.000729333   0.0016989
           7   -0.001604-0.000854286  0.00146079
           8     0.00667   8.625e-05  0.00155171
           9    0.009746  0.00115956  0.00171069
          10    0.003216   0.0013652  0.00155193
          11   -0.005352 0.000754545  0.00152626
          12   -0.002962 0.000444833  0.00143015
          13    0.006826 0.000935692  0.00140185
          14    0.002794  0.00106843  0.00130799
          15   -0.005298    0.000644  0.00128781
          16    0.009866  0.00122037  0.00133006
          17    0.001046  0.00121012  0.00125186
          18    0.000174  0.00115256  0.00118364
          19    -6.4e-05  0.00108853  0.00112307
          20   -0.004108   0.0008287  0.00109656
