#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.21498     0.21498           0
           2    0.214499     0.21474 0.000169971
           3    0.214429    0.214636 0.000141443
           4    0.208008    0.212979  0.00143892
           5    0.213853    0.213154   0.0011617
           6    0.207324    0.212182  0.00131297
           7    0.215357    0.212636  0.00120118
           8    0.213388     0.21273   0.0010547
           9    0.211984    0.212647 0.000940768
          10    0.214686    0.212851 0.000868512
          11    0.211763    0.212752  0.00079517
          12    0.215275    0.212962 0.000756201
          13    0.216584    0.213241 0.000747589
          14    0.212919    0.213218 0.000694542
          15    0.210889    0.213063 0.000665369
          16    0.210194    0.212883 0.000647492
          17    0.212487     0.21286 0.000609823
          18    0.207035    0.212536 0.000656209
          19    0.214572    0.212643 0.000630355
          20    0.216481    0.212835 0.000627364
