#   N_BLOCK:  ACCEPTANCE:
           1    0.517179
           2    0.517514
           3     0.51758
           4    0.517506
           5    0.517428
           6    0.517626
           7    0.517353
           8    0.517364
           9    0.517476
          10    0.517519
          11    0.517543
          12    0.517367
          13    0.517322
          14    0.517382
          15    0.517447
          16    0.517407
          17    0.517482
          18    0.517472
          19     0.51741
          20    0.517419
