#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         199       12.96     51.4894     2.63971
         200       12.96     51.2968     2.63353
         201          16     51.1212     2.62628
         202          16     50.9473     2.61902
         203       19.36     50.7917     2.61074
         204          16     50.6212     2.60351
         205          16     50.4523     2.59628
         206       12.96     50.2703     2.59005
         207       19.36      50.121     2.58184
         208       19.36     49.9731     2.57366
         209       19.36     49.8266     2.56551
         210       27.04     49.7181     2.55558
         211       31.36     49.6311     2.54495
         212       31.36     49.5449     2.53441
         213       23.04     49.4205     2.52556
         214          16     49.2643     2.51858
         215       10.24     49.0828      2.5134
         216        7.84     48.8919     2.50901
         217       10.24     48.7137     2.50376
         218        7.84     48.5262     2.49928
         219       10.24     48.3514     2.49398
         220        7.84     48.1673     2.48943
         221        5.76     47.9754     2.48555
         222        2.56     47.7708     2.48276
         223       12.96     47.6147     2.47653
         224          16     47.4736     2.46949
         225          16     47.3337     2.46247
         226       19.36     47.2099     2.45469
         227       31.36     47.1401     2.44487
         228       46.24     47.1361     2.43415
         229       51.84     47.1567      2.4236
         230       51.84      47.177     2.41315
         231       51.84     47.1972     2.40279
         232       46.24     47.1931     2.39244
         233       57.76     47.2385      2.3826
         234       23.04      47.135     2.37466
         235       27.04     47.0495     2.36609
         236       19.36     46.9322     2.35897
         237       12.96     46.7889     2.35337
         238       31.36      46.724     2.34438
         239       31.36     46.6597     2.33545
         240       27.04      46.578     2.32715
         241       27.04     46.4969      2.3189
         242       23.04        46.4     2.31135
         243       31.36     46.3381     2.30266
         244       27.04      46.259     2.29458
         245       40.96     46.2374     2.28532
         246          36     46.1958     2.27641
         247          16     46.0735     2.27047
         248       27.04     45.9968     2.26261
         249       23.04     45.9046     2.25541
         250          16      45.785     2.24955
         251       19.36     45.6797     2.24305
         252       10.24      45.539     2.23856
         253       19.36     45.4356      2.2321
         254          16     45.3197     2.22632
         255       27.04      45.248     2.21874
         256       40.96     45.2313     2.21014
         257          36     45.1953     2.20183
         258       40.96     45.1789     2.19336
         259       40.96     45.1626     2.18495
         260       46.24     45.1668     2.17655
         261       46.24     45.1709     2.16821
         262       51.84     45.1963     2.16009
         263          64     45.2678     2.15306
         264       70.56     45.3636     2.14703
         265          64      45.434     2.14008
         266          64     45.5038     2.13317
         267          64      45.573     2.12631
         268       70.56     45.6663     2.12042
         269       70.56     45.7588     2.11455
         270       70.56     45.8507     2.10872
         271       84.64     45.9938     2.10579
         272         100     46.1924     2.10738
         273         100     46.3895     2.10886
         274         100     46.5851     2.11022
         275         100     46.7793     2.11147
         276         100     46.9722     2.11261
         277         100     47.1636     2.11363
         278         100     47.3537     2.11456
         279         100     47.5424     2.11538
         280         100     47.7297     2.11611
         281         100     47.9157     2.11674
         282         100     48.1004     2.11727
         283         100     48.2838     2.11772
         284         100     48.4659     2.11808
         285         100     48.6467     2.11835
         286         100     48.8263     2.11854
         287         100     49.0046     2.11865
         288         100     49.1817     2.11868
         289         100     49.3575     2.11863
         290         100     49.5321     2.11851
         291         100     49.7056     2.11832
         292         100     49.8778     2.11805
         293         100     50.0489     2.11772
         294         100     50.2188     2.11732
         295         100     50.3875     2.11686
         296         100     50.5551     2.11633
         297         100     50.7216     2.11575
         298         100      50.887      2.1151
         299         100     51.0512     2.11439
         300         100     51.2144     2.11363
         301         100     51.3765     2.11281
         302         100     51.5375     2.11194
         303         100     51.6974     2.11102
         304         100     51.8563     2.11005
         305         100     52.0142     2.10903
         306         100      52.171     2.10796
         307         100     52.3268     2.10684
         308         100     52.4816     2.10568
         309         100     52.6353     2.10447
         310         100     52.7881     2.10322
         311         100     52.9399     2.10193
         312         100     53.0908      2.1006
         313         100     53.2406     2.09923
         314         100     53.3896     2.09782
         315         100     53.5375     2.09637
         316         100     53.6846     2.09488
         317         100     53.8307     2.09336
         318         100     53.9758     2.09181
         319         100     54.1201     2.09022
         320         100     54.2635      2.0886
         321         100      54.406     2.08695
         322         100     54.5476     2.08527
         323         100     54.6883     2.08355
         324         100     54.8281     2.08181
         325         100     54.9671     2.08004
         326         100     55.1053     2.07824
         327         100     55.2426     2.07641
         328         100      55.379     2.07456
         329         100     55.5147     2.07269
         330         100     55.6495     2.07078
         331         100     55.7834     2.06886
         332         100     55.9166     2.06691
         333         100      56.049     2.06494
         334         100     56.1806     2.06294
         335         100     56.3114     2.06093
         336         100     56.4414     2.05889
         337         100     56.5707     2.05684
         338         100     56.6992     2.05476
         339         100     56.8269     2.05267
         340         100     56.9539     2.05055
         341         100     57.0801     2.04842
         342         100     57.2056     2.04627
         343         100     57.3304     2.04411
         344         100     57.4544     2.04192
         345         100     57.5777     2.03973
         346         100     57.7003     2.03751
         347         100     57.8222     2.03528
         348         100     57.9434     2.03304
         349         100      58.064     2.03078
         350         100     58.1838     2.02851
         351         100     58.3029     2.02623
         352         100     58.4214     2.02393
         353         100     58.5392     2.02162
         354         100     58.6563      2.0193
         355         100     58.7727     2.01697
         356         100     58.8885     2.01463
         357         100     59.0037     2.01227
         358         100     59.1182     2.00991
         359         100     59.2321     2.00753
         360         100     59.3453     2.00515
         361       92.16     59.4362     2.00165
         362       92.16     59.5266     1.99816
         363       92.16     59.6165     1.99468
         364         100     59.7275     1.99228
         365         100     59.8378     1.98988
         366         100     59.9475     1.98746
         367         100     60.0567     1.98504
         368         100     60.1652     1.98261
         369         100     60.2732     1.98018
         370         100     60.3805     1.97773
         371         100     60.4873     1.97528
         372         100     60.5935     1.97283
         373         100     60.6992     1.97036
         374         100     60.8043      1.9679
         375         100     60.9088     1.96542
         376         100     61.0128     1.96294
         377         100     61.1162     1.96046
         378         100      61.219     1.95797
         379         100     61.3214     1.95547
         380         100     61.4232     1.95298
         381         100     61.5244     1.95047
         382         100     61.6251     1.94797
         383         100     61.7253     1.94546
         384         100      61.825     1.94294
         385         100     61.9242     1.94042
         386         100     62.0228      1.9379
         387         100     62.1209     1.93538
         388         100     62.2186     1.93285
         389         100     62.3157     1.93032
         390         100     62.4123     1.92779
         391         100     62.5084     1.92525
         392         100     62.6041     1.92271
         393         100     62.6992     1.92018
         394         100     62.7939     1.91763
         395         100     62.8881     1.91509
         396         100     62.9818     1.91255
         397         100     63.0751        1.91
         398         100     63.1678     1.90745
         399         100     63.2602     1.90491
         400         100      63.352     1.90236
         401         100     63.4434     1.89981
         402         100     63.5343     1.89726
         403         100     63.6248      1.8947
         404         100     63.7149     1.89215
         405         100     63.8044      1.8896
         406         100     63.8936     1.88705
         407         100     63.9823      1.8845
         408         100     64.0706     1.88194
         409         100     64.1584     1.87939
         410         100     64.2459     1.87684
         411         100     64.3328     1.87429
         412         100     64.4194     1.87174
         413         100     64.5056     1.86919
         414         100     64.5913     1.86664
         415         100     64.6766     1.86409
         416         100     64.7615     1.86154
         417         100      64.846     1.85899
         418         100     64.9301     1.85645
         419         100     65.0138      1.8539
         420         100     65.0971     1.85136
         421         100       65.18     1.84882
         422       92.16      65.244     1.84554
         423       84.64     65.2898     1.84175
         424       92.16     65.3532     1.83849
         425       92.16     65.4163     1.83525
         426         100     65.4975     1.83274
         427         100     65.5783     1.83022
         428         100     65.6587     1.82771
         429         100     65.7387     1.82521
         430         100     65.8184      1.8227
         431         100     65.8977     1.82019
         432         100     65.9767     1.81769
         433         100     66.0552     1.81519
         434         100     66.1335     1.81269
         435         100     66.2113      1.8102
         436         100     66.2888      1.8077
         437         100     66.3659     1.80521
         438         100     66.4427     1.80272
         439         100     66.5192     1.80024
         440         100     66.5953     1.79775
         441         100      66.671     1.79527
         442         100     66.7464     1.79279
         443         100     66.8215     1.79032
         444         100     66.8962     1.78784
         445         100     66.9706     1.78537
         446         100     67.0447      1.7829
         447         100     67.1184     1.78044
         448         100     67.1918     1.77798
         449         100     67.2649     1.77552
         450         100     67.3376     1.77306
         451         100       67.41     1.77061
         452         100     67.4821     1.76816
         453         100     67.5539     1.76571
         454       92.16     67.6081     1.76266
         455       92.16     67.6621     1.75961
         456       92.16     67.7158     1.75657
         457       77.44     67.7371     1.75285
         458       77.44     67.7583     1.74915
         459       84.64      67.795     1.74573
         460          64     67.7868     1.74195
         461       70.56     67.7928     1.73819
         462       70.56     67.7988     1.73443
         463       84.64     67.8352     1.73107
         464       77.44     67.8559     1.72746
         465       70.56     67.8617     1.72376
         466       92.16     67.9138     1.72085
         467         100     67.9825     1.71853
         468         100     68.0509     1.71622
         469         100     68.1191     1.71391
         470         100     68.1869     1.71161
         471         100     68.2544     1.70931
         472         100     68.3217     1.70701
         473         100     68.3887     1.70471
         474         100     68.4554     1.70242
         475         100     68.5218     1.70013
         476         100     68.5879     1.69785
         477         100     68.6538     1.69556
         478         100     68.7193     1.69328
         479         100     68.7846     1.69101
         480         100     68.8497     1.68873
         481         100     68.9144     1.68646
         482         100     68.9789      1.6842
         483         100     69.0431     1.68194
         484         100     69.1071     1.67968
         485         100     69.1708     1.67742
         486         100     69.2342     1.67517
         487         100     69.2974     1.67292
         488         100     69.3603     1.67067
         489         100      69.423     1.66843
         490         100     69.4854     1.66619
         491         100     69.5475     1.66396
         492         100     69.6094     1.66173
         493         100     69.6711      1.6595
         494         100     69.7325     1.65728
         495         100     69.7936     1.65506
         496         100     69.8545     1.65284
         497         100     69.9152     1.65063
         498         100     69.9756     1.64842
         499         100     70.0358     1.64621
         500         100     70.0957     1.64401
         501         100     70.1554     1.64181
         502         100     70.2148     1.63962
         503         100      70.274     1.63742
         504         100      70.333     1.63524
         505         100     70.3918     1.63305
         506         100     70.4503     1.63088
         507         100     70.5086      1.6287
         508         100     70.5666     1.62653
         509         100     70.6244     1.62436
         510         100      70.682      1.6222
         511         100     70.7394     1.62004
         512         100     70.7966     1.61788
         513       92.16     70.8382     1.61526
         514         100     70.8949     1.61311
         515         100     70.9515     1.61097
         516         100     71.0078     1.60883
         517         100     71.0638      1.6067
         518         100     71.1197     1.60457
         519         100     71.1753     1.60244
         520         100     71.2308     1.60032
         521         100      71.286      1.5982
         522         100      71.341     1.59608
         523       92.16     71.3808     1.59353
         524         100     71.4354     1.59142
         525         100     71.4898     1.58932
         526         100      71.544     1.58722
         527         100      71.598     1.58513
         528         100     71.6518     1.58304
         529         100     71.7054     1.58095
         530         100     71.7588     1.57887
         531         100      71.812     1.57679
         532         100      71.865     1.57472
         533         100     71.9177     1.57265
         534         100     71.9703     1.57058
         535         100     72.0227     1.56852
         536         100     72.0749     1.56646
         537         100     72.1269     1.56441
         538         100     72.1787     1.56236
         539       92.16     72.2158      1.5599
         540         100     72.2673     1.55786
         541         100     72.3185     1.55582
         542         100     72.3696     1.55379
         543         100     72.4205     1.55176
         544         100     72.4712     1.54974
         545         100     72.5217     1.54772
         546         100      72.572      1.5457
         547         100     72.6222     1.54369
         548         100     72.6721     1.54168
         549         100     72.7219     1.53968
