#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763596   -0.763596           0
           2   -0.759064    -0.76133   0.0016023
           3   -0.761012   -0.761224   0.0010717
           4    -0.76372   -0.761848  0.00096855
           5   -0.762116   -0.761902 0.000776322
           6   -0.760876   -0.761731 0.000665487
           7    -0.76362   -0.762001  0.00062275
           8    -0.75942   -0.761678 0.000622872
           9   -0.759668   -0.761455 0.000592351
          10   -0.760728   -0.761382 0.000537554
          11   -0.762356   -0.761471 0.000495925
          12      -0.765   -0.761765  0.00053475
          13   -0.762084   -0.761789 0.000494179
          14   -0.763884   -0.761939 0.000480999
          15   -0.760092   -0.761816 0.000464424
          16   -0.762528    -0.76186 0.000437525
          17   -0.760192   -0.761762  0.00042265
          18    -0.76218   -0.761785 0.000399807
          19    -0.76138   -0.761764 0.000379333
          20   -0.759992   -0.761675 0.000370569
