#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.018032    0.018032           0
           2    0.024252    0.021142   0.0021991
           3    0.027192   0.0231587  0.00220469
           4    -0.02223   0.0118115  0.00996508
           5   -0.029264   0.0035964   0.0108418
           6    0.009364  0.00455767  0.00907733
           7   -0.010696  0.00237857  0.00803787
           8    0.035704  0.00654425  0.00804044
           9   -0.006962  0.00504356  0.00728576
          10   -0.005758   0.0039634  0.00663677
          11    -0.01354  0.00237218  0.00622126
          12    0.006552   0.0027205  0.00571256
          13    0.017008  0.00381954  0.00537782
          14    0.001958  0.00368657  0.00499533
          15   -0.019282  0.00215533  0.00489137
          16    0.011782    0.002757  0.00462252
          17    -0.02807 0.000943647  0.00469282
          18   -0.019746-0.000205778  0.00457071
          19    -0.01412-0.000938105  0.00438842
          20    -0.00899  -0.0013407  0.00418743
