#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.615028   -0.615028           0
           2   -0.613144   -0.614086 0.000666095
           3    -0.61394   -0.614037 0.000445837
           4     -0.6149   -0.614253 0.000383005
           5   -0.615628   -0.614528 0.000392916
           6   -0.614596   -0.614539 0.000327594
           7   -0.614812   -0.614578 0.000283101
           8   -0.612964   -0.614377 0.000311432
           9   -0.612104   -0.614124 0.000365111
          10    -0.61298    -0.61401 0.000346059
          11   -0.615572   -0.614152 0.000342509
          12   -0.615628   -0.614275 0.000335336
          13   -0.613664   -0.614228 0.000312814
          14   -0.609616   -0.613898 0.000430268
          15   -0.611952   -0.613769 0.000420693
          16   -0.615256   -0.613862 0.000404542
          17   -0.613104   -0.613817 0.000383191
          18   -0.613968   -0.613825 0.000361995
          19   -0.614172   -0.613844 0.000343402
          20    -0.60956   -0.613629 0.000387306
