#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.279216    0.279216           0
           2    0.273354    0.276285  0.00207229
           3    0.277858    0.276809  0.00144629
           4    0.268513    0.274735  0.00209834
           5    0.272967    0.274382   0.0017082
           6    0.271895    0.273967   0.0014729
           7    0.271999    0.273686  0.00128903
           8    0.271708    0.273439  0.00115137
           9     0.27971    0.274136  0.00121613
          10     0.27159    0.273881  0.00112085
          11    0.271898    0.273701  0.00103335
          12    0.274041    0.273729 0.000947627
          13    0.268894    0.273357 0.000944911
          14    0.273638    0.273377 0.000877631
          15    0.267499    0.272985 0.000902396
          16    0.272817    0.272975 0.000846057
          17    0.273855    0.273027 0.000797871
          18    0.273702    0.273064 0.000754427
          19    0.272566    0.273038 0.000715176
          20    0.269101    0.272841 0.000705991
