#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.556617   -0.556617           0
           2   -0.553827   -0.555222 0.000986216
           3    -0.55534   -0.555261 0.000658262
           4   -0.556774    -0.55564 0.000592465
           5   -0.558707   -0.556253 0.000725132
           6   -0.553316   -0.555764 0.000751577
           7   -0.556669   -0.555893 0.000655257
           8   -0.555917   -0.555896 0.000573357
           9    -0.55566    -0.55587 0.000510247
          10   -0.553884   -0.555671 0.000496376
          11   -0.555486   -0.555654 0.000451537
          12   -0.556589   -0.555732 0.000420573
          13   -0.556938   -0.555825 0.000398316
          14   -0.554904   -0.555759 0.000375254
          15   -0.554264   -0.555659 0.000363237
          16   -0.557872   -0.555798 0.000365904
          17   -0.555739   -0.555794 0.000344397
          18   -0.556306   -0.555823 0.000326434
          19   -0.556445   -0.555855 0.000310891
          20   -0.553262   -0.555726 0.000321245
