#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439169    0.439169           0
           2    0.440956    0.440063 0.000631821
           3    0.439245     0.43979 0.000476374
           4     0.42654    0.436478  0.00289097
           5    0.433436    0.435869  0.00237592
           6    0.447057    0.437734  0.00261102
           7    0.433489    0.437128  0.00230736
           8    0.443186    0.437885  0.00213962
           9     0.43985    0.438103  0.00191299
          10    0.438759    0.438169  0.00172282
          11    0.427691    0.437216  0.00181048
          12    0.449267    0.438221  0.00191801
          13    0.434272    0.437917  0.00179436
          14    0.445992    0.438494  0.00175646
          15    0.435017    0.438262  0.00165458
          16    0.416161    0.436881  0.00204813
          17    0.432979    0.436651  0.00194047
          18    0.452328    0.437522  0.00201867
          19    0.435954     0.43744  0.00191411
          20    0.420306    0.436583  0.00200095
