#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.000188   -0.000188           0
           2    0.001422    0.000617 0.000569221
           3   -0.001204       1e-05  0.00062421
           4   -0.004974   -0.001236  0.00117625
           5    0.009408   0.0008928  0.00212389
           6   -0.001446    0.000503  0.00180532
           7   -0.008164-0.000735143  0.00192575
           8    0.005858     8.9e-05  0.00185301
           9   -0.002912-0.000244444  0.00167685
          10    -0.00247   -0.000467  0.00152386
          11    0.002084-0.000235091  0.00140287
          12    0.003212 5.21667e-05  0.00131504
          13   -0.001916-9.92308e-05  0.00122257
          14     0.00124-3.57143e-06  0.00113898
          15   -0.005024-0.000338267  0.00111113
          16     0.00667   9.975e-05  0.00112471
          17    0.002168 0.000221412  0.00106511
          18    0.009676 0.000746667  0.00112804
          19   -0.002454 0.000578211  0.00108118
          20   -0.003854   0.0003566  0.00104959
