#   N_BLOCK:  ACCEPTANCE:
           1    0.469933
           2    0.471388
           3      0.4715
           4    0.471496
           5    0.471627
           6     0.47186
           7    0.471721
           8    0.471741
           9    0.472061
          10     0.47204
          11    0.472045
          12    0.471993
          13    0.472088
          14    0.472054
          15    0.472078
          16    0.471968
          17    0.471925
          18    0.471871
          19    0.471771
          20    0.471727
