#   N_BLOCK:  ACCEPTANCE:
           1    0.352418
           2    0.353221
           3    0.353227
           4    0.353406
           5    0.353639
           6    0.353574
           7     0.35334
           8     0.35354
           9    0.353746
          10    0.353656
          11    0.353527
          12    0.353506
          13    0.353454
          14    0.353577
          15    0.353571
          16    0.353725
          17    0.353696
          18     0.35354
          19    0.353555
          20    0.353576
