#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.915153   -0.915153           0
           2    -0.91431   -0.914732 0.000297989
           3   -0.917131   -0.915531 0.000682473
           4   -0.912635   -0.914807 0.000809527
           5   -0.908019    -0.91345  0.00137627
           6   -0.917203   -0.914075  0.00128118
           7   -0.908452   -0.913272  0.00132633
           8   -0.908788   -0.912711  0.00127344
           9   -0.910926   -0.912513  0.00114729
          10   -0.912363   -0.912498  0.00103266
          11   -0.913627   -0.912601 0.000943868
          12   -0.913994   -0.912717 0.000872326
          13   -0.910815    -0.91257 0.000817403
          14   -0.912694   -0.912579 0.000759065
          15   -0.910344    -0.91243 0.000722935
          16   -0.915792    -0.91264 0.000707631
          17   -0.911182   -0.912555 0.000671188
          18   -0.907544   -0.912276 0.000689205
          19   -0.908378   -0.912071 0.000682791
          20   -0.909515   -0.911943 0.000660505
