#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.537701    0.537701           0
           2    0.493664    0.515683   0.0155696
           3    0.537552    0.522972   0.0119652
           4    0.563622    0.533135   0.0125693
           5    0.540517    0.534611   0.0101418
           6    0.524742    0.532966  0.00858387
           7    0.499669     0.52821   0.0085749
           8    0.512862    0.526291  0.00771467
           9     0.52887    0.526578   0.0068628
          10    0.516424    0.525562  0.00625118
          11    0.556732    0.528396  0.00629243
          12    0.525558    0.528159   0.0057725
          13    0.518365    0.527406   0.0053774
          14    0.490981    0.524804  0.00558738
          15    0.524227    0.524766  0.00521502
          16    0.508215    0.523731  0.00499062
          17    0.520734    0.523555  0.00470017
          18    0.468591    0.520501   0.0053396
          19    0.487799     0.51878  0.00532875
          20    0.540011    0.519842  0.00516696
