#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.297255    0.297255           0
           2    0.296487    0.296871 0.000271494
           3     0.30111    0.298284  0.00116794
           4    0.290732    0.296396  0.00185496
           5    0.296006    0.296318  0.00148561
           6    0.295395    0.296164  0.00124593
           7    0.295089     0.29601  0.00107736
           8    0.301881    0.296744  0.00116615
           9    0.304978    0.297659  0.00134849
          10    0.296625    0.297556   0.0012176
          11     0.29394    0.297227  0.00115043
          12    0.294793    0.297024   0.0010723
          13    0.295931     0.29694 0.000993105
          14    0.298869    0.297078 0.000931678
          15     0.29306     0.29681 0.000907245
          16     0.29907    0.296951  0.00086147
          17    0.300425    0.297156 0.000834673
          18    0.299016    0.297259 0.000794675
          19    0.294085    0.297092 0.000770204
          20    0.292098    0.296842 0.000771113
