#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.002504    0.002504           0
           2   -0.000362    0.001071  0.00101328
           3    0.003234    0.001792 0.000896042
           4   -0.009144   -0.000942  0.00246124
           5    0.003704   -1.28e-05  0.00213721
           6    -0.00191   -0.000329  0.00180425
           7   -0.002834-0.000686857  0.00158159
           8    0.009368     0.00057  0.00181587
           9   -0.000236 0.000480444  0.00161631
          10     -0.0033   0.0001024  0.00149824
          11    0.005692 0.000610545  0.00144564
          12    -0.00203   0.0003905  0.00134181
          13    0.000248 0.000379538  0.00123864
          14    -0.00224 0.000192429  0.00116421
          15   -0.001258 9.57333e-05  0.00109061
          16   -0.001868    -2.7e-05  0.00102933
          17   -0.000546-5.75294e-05 0.000969232
          18   -0.002472-0.000191667 0.000924621
          19   -0.003386-0.000359789 0.000891111
          20    -0.00047  -0.0003653 0.000846572
