#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37238     1.37238           0
           2      1.3433     1.35784   0.0102792
           3     1.34346     1.35305  0.00789126
           4     1.36267     1.35545  0.00627462
           5     1.35523     1.35541  0.00501985
           6     1.31325     1.34838   0.0076577
           7     1.35395     1.34918  0.00660487
           8      1.3893     1.35419   0.0074438
           9     1.35998     1.35484  0.00664443
          10     1.32164     1.35152  0.00675834
          11     1.38833     1.35486  0.00692326
          12     1.37779     1.35677   0.0066046
          13     1.35849     1.35691  0.00609788
          14     1.37378     1.35811  0.00578016
          15     1.34877     1.35749  0.00542822
          16     1.35903     1.35758  0.00508982
          17     1.37179     1.35842  0.00485849
          18     1.37348     1.35926  0.00466002
          19     1.34012     1.35825  0.00452231
          20     1.38667     1.35967  0.00451394
