#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201172    0.201172           0
           2    0.200718    0.200945 0.000160546
           3    0.199155    0.200348 0.000498733
           4    0.194417    0.198865  0.00133746
           5    0.196434    0.198379  0.00115501
           6    0.195218    0.197852  0.00107596
           7    0.196827    0.197706 0.000932166
           8    0.200933    0.198109 0.000898684
           9    0.197374    0.198028 0.000802538
          10    0.195949     0.19782 0.000748728
          11    0.192474    0.197334 0.000823389
          12    0.197267    0.197328 0.000754792
          13    0.197785    0.197363 0.000697549
          14    0.196519    0.197303 0.000650322
          15    0.194752    0.197133 0.000628812
          16    0.198651    0.197228  0.00059663
          17    0.197674    0.197254 0.000562112
          18    0.195218    0.197141  0.00054215
          19    0.193842    0.196967 0.000540709
          20    0.198116    0.197025 0.000516714
