#   N_BLOCK:  ACCEPTANCE:
           1    0.537152
           2    0.537928
           3    0.538093
           4     0.53806
           5    0.538031
           6    0.538042
           7     0.53785
           8    0.537645
           9    0.537684
          10    0.537764
          11    0.537679
          12    0.537581
          13    0.537611
          14    0.537638
          15    0.537685
          16    0.537709
          17    0.537732
          18    0.537636
          19    0.537634
          20    0.537625
