#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.44        0.44           0
           2        0.48        0.46   0.0141421
           3        0.16        0.36   0.0821922
           4        0.04        0.28   0.0927362
           5        0.04       0.232   0.0857158
           6       -0.08        0.18   0.0857645
           7        0.04        0.16   0.0758086
           8        0.04       0.145   0.0678003
           9        0.16    0.146667   0.0602874
          10        0.28        0.16   0.0557136
          11        0.16        0.16   0.0506487
          12       -0.08        0.14   0.0502217
          13        0.08    0.135385   0.0465701
          14        0.16    0.137143   0.0432769
          15        0.24       0.144   0.0409314
          16       -0.08        0.13   0.0406971
          17       -0.08    0.117647   0.0401341
          18        0.36    0.131111   0.0400993
          19        0.28    0.138947    0.038747
          20        0.28       0.146    0.037446
          21        0.12    0.144762   0.0356833
          22        0.08    0.141818   0.0341825
          23        0.36    0.151304   0.0339871
          24        0.12        0.15    0.032596
          25        0.04      0.1456   0.0315877
          26        0.16    0.146154   0.0303777
          27           0    0.140741    0.029731
          28       -0.16        0.13   0.0305477
          29           0    0.125517   0.0298215
          30       -0.08    0.118667   0.0296038
          31       -0.08    0.112258   0.0293343
          32           0     0.10875   0.0286266
          33         0.2    0.111515   0.0278924
          34        0.24    0.115294   0.0273268
          35        0.28        0.12   0.0269482
          36        0.04    0.117778   0.0262911
          37        0.08    0.116757   0.0256003
          38           0    0.113684   0.0251103
          39        0.04    0.111795   0.0245375
          40        -0.2       0.104   0.0251317
          41           0    0.101463   0.0246464
          42        0.04         0.1    0.024103
          43         0.2    0.102326   0.0236543
          44        0.16    0.103636    0.023153
          45           0    0.101333   0.0227528
          46        0.28    0.105217   0.0225872
          47        0.36    0.110638   0.0227479
          48        0.36    0.115833   0.0228595
          49        0.24    0.118367    0.022533
          50        0.04      0.1168   0.0221367
          51       -0.12    0.112157   0.0221843
          52           0        0.11   0.0218623
          53       -0.44   0.0996226   0.0237855
          54       -0.08   0.0962963   0.0235765
          55        0.16   0.0974545   0.0231762
          56        0.16   0.0985714   0.0227893
          57       -0.12   0.0947368   0.0227098
          58           0   0.0931034   0.0223769
          59        0.32   0.0969492   0.0223256
          60        0.08   0.0966667   0.0219553
          61         0.2   0.0983607   0.0216607
          62       -0.08   0.0954839   0.0215015
          63           0   0.0939683   0.0212135
          64        0.04    0.093125   0.0208988
          65       -0.16   0.0892308    0.020937
          66        0.08   0.0890909   0.0206202
          67           0   0.0877612   0.0203553
          68           0   0.0864706   0.0200968
          69        0.24   0.0886957   0.0199284
          70         0.2   0.0902857    0.019707
          71        0.04   0.0895775   0.0194422
          72       -0.04   0.0877778   0.0192553
          73       -0.08   0.0854795   0.0191282
          74        -0.4   0.0789189    0.019963
          75       -0.52   0.0709333   0.0212341
          76       -0.52   0.0631579    0.022333
          77       -0.28   0.0587013   0.0224832
          78       -0.16   0.0558974   0.0223691
          79       -0.24   0.0521519   0.0223973
          80       -0.16      0.0495   0.0222738
          81       -0.48    0.042963    0.022938
          82       -0.44   0.0370732   0.0234022
          83       -0.04   0.0361446   0.0231387
          84       -0.16   0.0338095   0.0229808
          85       -0.32   0.0296471   0.0230843
          86           0   0.0293023   0.0228184
          87        0.12   0.0303448     0.02258
          88        0.12   0.0313636   0.0223463
          89       -0.12   0.0296629   0.0221599
          90       -0.24   0.0266667   0.0221153
          91       -0.08   0.0254945   0.0219033
          92       -0.24   0.0226087   0.0218545
          93       -0.08   0.0215054   0.0216474
          94           0   0.0212766   0.0214183
          95        -0.2   0.0189474   0.0213191
          96       -0.24     0.01625    0.021267
          97        -0.4   0.0119588   0.0214763
          98        -0.2  0.00979592   0.0213658
          99       -0.56   0.0040404   0.0219115
         100       -0.44     -0.0004   0.0221377
         101       -0.08 -0.00118812   0.0219326
         102       -0.08 -0.00196078   0.0217311
         103        0.08 -0.00116505   0.0215347
         104        0.32  0.00192308   0.0215479
         105        0.04  0.00228571   0.0213458
         106        0.16  0.00377358   0.0211962
         107         0.2  0.00560748   0.0210773
         108        0.28  0.00814815   0.0210347
         109         0.2  0.00990826   0.0209152
         110        0.04   0.0101818   0.0207269
         111       -0.08  0.00936937   0.0205561
