#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.030834    0.030834           0
           2     0.02945    0.030142 0.000489318
           3    0.029576   0.0299533 0.000360755
           4    0.026286   0.0290365 0.000838835
           5    0.022736   0.0277764  0.00131172
           6    0.018234    0.026186  0.00181733
           7    0.025588   0.0261006  0.00155972
           8    0.033796   0.0270625  0.00163468
           9     0.03387   0.0278189  0.00161862
          10    0.031026   0.0281396  0.00148819
          11    0.021388   0.0275258  0.00147405
          12    0.021506   0.0270242  0.00143403
          13    0.034032   0.0275632  0.00142143
          14    0.031996   0.0278799  0.00135471
          15    0.021248   0.0274377  0.00133459
          16    0.036402    0.027998  0.00136372
          17      0.0273   0.0279569  0.00128412
          18    0.027198   0.0279148  0.00121347
          19    0.024628   0.0277418  0.00116187
          20    0.023588   0.0275341  0.00112219
