#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.203019    0.203019           0
           2    0.201387    0.202203  0.00057704
           3    0.198341    0.200915  0.00111938
           4    0.195097    0.199461  0.00151388
           5     0.19418    0.198405  0.00153597
           6    0.199409    0.198572  0.00128906
           7    0.195393    0.198118  0.00118218
           8    0.200432    0.198407  0.00106922
           9    0.199723    0.198553  0.00096036
          10    0.199365    0.198635 0.000867748
          11    0.194305    0.198241 0.000873566
          12    0.197507     0.19818 0.000802909
          13    0.195879    0.198003 0.000760402
          14    0.194811    0.197775 0.000739482
          15    0.198352    0.197813 0.000691185
          16    0.199489    0.197918 0.000655869
          17    0.200067    0.198044 0.000629351
          18    0.202535    0.198294 0.000641927
          19     0.19908    0.198335 0.000609474
          20    0.193745    0.198106 0.000620713
