#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        5.76        5.76           0
           2        0.36        3.06     1.90919
           3           1     2.37333     1.39081
           4        0.04        1.79       1.159
           5        0.04        1.44    0.978619
           6        0.64     1.30667    0.824549
           7        2.56     1.48571    0.725936
           8           1       1.425    0.637728
           9        0.36     1.30667    0.577744
          10        1.96       1.372     0.52365
          11           0     1.24727    0.490675
          12        0.04     1.14667    0.459984
          13        0.16     1.07077    0.430817
          14        3.24     1.22571    0.426999
          15        2.56     1.31467    0.407693
          16           1       1.295    0.382686
          17        0.16     1.22824    0.365953
          18           0        1.16    0.351926
          19           0     1.09895    0.338658
          20        0.16       1.052    0.324963
          21        3.24     1.15619    0.325763
          22        1.44     1.16909    0.311211
          23           4     1.29217    0.321099
          24        1.44     1.29833    0.307779
          25           4      1.4064    0.313867
          26           1     1.39077    0.302184
          27        0.64     1.36296    0.292268
          28        0.64     1.33714    0.282968
          29        0.16     1.29655    0.276107
          30        0.04     1.25467    0.270062
          31        1.44     1.26065    0.261416
          32        1.44     1.26625    0.253307
          33        0.04     1.22909    0.248342
          34           1     1.22235    0.241129
          35           1       1.216    0.234323
          36        0.16     1.18667    0.229643
          37        1.44     1.19351    0.223538
          38        0.16     1.16632    0.219304
          39        0.36     1.14564    0.214653
          40        0.04       1.118    0.211059
          41        0.04     1.09171    0.207542
          42           0     1.06571    0.204222
          43        2.56     1.10047    0.202408
          44        1.44     1.10818    0.197955
          45           1     1.10578     0.19357
          46        0.04     1.08261    0.190744
          47        1.96     1.10128    0.187597
          48        0.64     1.09167    0.183934
          49        0.04      1.0702    0.181429
          50        0.36       1.056    0.178355
          51        0.04     1.03608    0.175967
          52        0.04     1.01692    0.173623
          53           0    0.997736    0.171404
          54        0.36    0.985926    0.168636
          55        0.36    0.974545    0.165953
          56           1       0.975     0.16299
          57        0.04    0.958596    0.160954
          58        1.44    0.966897    0.158393
          59           0    0.950508    0.156554
          60        0.36    0.940667    0.154254
          61        0.64    0.935738    0.151804
          62        1.44    0.943871    0.149573
          63           1    0.944762    0.147201
          64        1.44      0.9525    0.145105
          65        1.96       0.968    0.143698
          66        0.04    0.953939    0.142207
          67        0.36    0.945075     0.14036
          68        0.36    0.936471     0.13856
          69        1.96    0.951304    0.137343
          70        0.64    0.946857    0.135453
          71        0.16    0.935775    0.133998
          72        0.04    0.923333    0.132713
          73           0    0.910685    0.131497
          74        0.36    0.903243     0.12993
          75        0.36       0.896    0.128399
          76        0.36    0.888947    0.126903
          77        0.04    0.877922    0.125733
          78        0.64    0.874872    0.124158
          79        0.04    0.864304    0.123036
          80        0.16      0.8555    0.121812
          81        0.16    0.846914    0.120611
          82        0.04    0.837073    0.119541
          83        0.36    0.831325    0.118238
          84        3.24        0.86    0.120258
          85        0.16    0.851765    0.119125
          86        6.76    0.920465    0.136115
          87        2.56     0.93931    0.135849
          88           1        0.94    0.134307
          89        0.64    0.936629     0.13284
          90        0.64    0.933333    0.131405
          91        1.44    0.938901    0.130079
          92           0    0.928696    0.129065
          93        0.16     0.92043    0.127942
          94        0.36    0.914468    0.126719
          95        0.16    0.906526    0.125634
          96        0.36    0.900833    0.124454
          97        0.04    0.891959    0.123487
          98        0.16     0.88449    0.122453
          99           1    0.885657    0.121222
         100        0.36      0.8804    0.120123
         101        0.04    0.872079    0.119222
         102        0.36    0.867059    0.118159
         103        0.04    0.859029    0.117284
         104           0    0.850769    0.116447
         105           0    0.842667    0.115619
         106        0.04    0.835094    0.114776
         107        0.04    0.827664    0.113944
         108           1    0.829259      0.1129
         109        0.64    0.827523    0.111878
         110        0.04    0.820364    0.111089
         111        0.36    0.816216    0.110166
         112        1.96    0.826429    0.109655
         113        0.64    0.824779    0.108697
         114        3.24    0.845965    0.109788
         115        4.84    0.880696    0.114195
         116        0.36    0.876207    0.113299
         117        1.44    0.881026    0.112433
         118        1.96    0.890169    0.111851
         119        2.56    0.904202    0.111788
         120        6.76       0.953     0.12104
         121        0.64    0.950413    0.120067
         122        1.44    0.954426     0.11915
         123        4.84    0.986016    0.122297
         124        1.44    0.989677    0.121366
         125        1.44     0.99328    0.120448
         126        2.56     1.00571    0.120132
         127        1.96     1.01323    0.119421
         128        0.16     1.00656    0.118674
         129           1     1.00651    0.117754
         130           0    0.998769    0.117103
         131        0.16    0.992366    0.116384
         132        0.64    0.989697    0.115533
         133           0    0.982256    0.114903
         134        0.04    0.975224    0.114261
         135        0.36    0.970667    0.113505
         136        0.64    0.968235    0.112697
         137           0    0.961168    0.112095
         138        0.04    0.954493    0.111482
         139        2.56    0.966043    0.111276
         140           1    0.966286    0.110482
         141        0.36    0.961986    0.109782
         142        0.36    0.957746    0.109091
         143        0.64    0.955524     0.10835
         144        1.44    0.958889     0.10765
         145        0.36    0.954759    0.106987
         146        1.96    0.961644    0.106476
         147        2.56    0.972517    0.106305
         148        1.96    0.979189    0.105796
         149           1    0.979329    0.105086
         150        0.16    0.973867    0.104527
         151        0.04    0.967682    0.104018
         152           1    0.967895    0.103334
         153        0.36    0.963922    0.102735
         154        0.36        0.96    0.102142
         155        0.04    0.954065    0.101656
         156        0.64    0.952051    0.101024
         157        0.04    0.946242    0.100547
         158        0.04    0.940506    0.100074
         159           1    0.940881   0.0994458
         160        0.04     0.93525   0.0989835
         161        0.64    0.933416   0.0983857
         162        0.64    0.931605    0.097795
         163        0.16    0.926871   0.0973096
         164        0.16    0.922195   0.0968285
         165        0.16    0.917576   0.0963518
         166           0    0.912048   0.0959298
         167           1    0.912575   0.0953568
         168           0    0.907143   0.0949438
         169        0.64    0.905562   0.0943951
         170        0.64       0.904   0.0938528
         171        0.36    0.900819   0.0933579
         172        0.36    0.897674    0.092868
         173        0.04    0.892717   0.0924634
         174        0.04    0.887816   0.0920618
         175        0.04    0.882971   0.0916631
         176        0.36        0.88   0.0911905
         177        0.36    0.877062   0.0907226
         178        0.04     0.87236   0.0903347
         179        0.04    0.867709   0.0899496
         180        0.04    0.863111   0.0895674
         181        0.04    0.858564   0.0891879
         182        0.04    0.854066   0.0888112
         183        0.16    0.850273   0.0884068
         184        0.36    0.847609   0.0879665
         185        0.16    0.843892   0.0875695
         186        0.64    0.842796   0.0871056
         187           0    0.838289   0.0867563
         188        0.16    0.834681   0.0863698
         189        1.96    0.840635   0.0861178
         190        1.44    0.843789   0.0857223
         191        2.56    0.852775   0.0857431
         192        0.36    0.850208   0.0853349
         193           0    0.845803   0.0850064
         194        0.04    0.841649   0.0846697
         195        0.04    0.837538   0.0843352
         196        0.04    0.833469    0.084003
         197        0.04    0.829442   0.0836731
         198        0.16    0.826061   0.0833188
         199        1.44    0.829146   0.0829572
         200        0.64      0.8282   0.0825478
         201        0.64    0.827264   0.0821425
         202        0.36     0.82495   0.0817684
         203        0.36     0.82266   0.0813976
         204        0.36    0.820392   0.0810302
         205        0.16    0.817171    0.080699
         206           1    0.818058   0.0803121
         207           0    0.814106   0.0800213
         208        0.04    0.810385   0.0797231
         209        0.16    0.807273   0.0794023
         210        1.44    0.810286   0.0790814
         211        0.04    0.806635   0.0787908
         212        0.36    0.804528   0.0784473
         213        0.36    0.802441   0.0781068
         214           0    0.798692   0.0778317
         215        0.04    0.795163   0.0775497
         216        3.24    0.806481   0.0780123
         217           1    0.807373   0.0776579
         218        0.04    0.803853   0.0773814
         219        0.36    0.801826   0.0770546
         220           4    0.816364   0.0780636
         221           4    0.830769   0.0790284
         222        3.24    0.841622    0.079414
         223        0.04    0.838027   0.0791392
         224        0.16       0.835   0.0788438
         225        0.04    0.831467   0.0785725
         226           1    0.832212   0.0782284
         227           0    0.828546   0.0779696
         228        0.04    0.825088   0.0777043
         229        1.96    0.830044   0.0775229
         230        0.36       0.828   0.0772127
         231        0.16    0.825108   0.0769326
         232        0.36    0.823103   0.0766271
         233        0.64    0.822318   0.0763023
         234           4    0.835897   0.0771752
         235           1    0.836596   0.0768499
         236        1.44    0.839153   0.0765668
         237           1    0.839831   0.0762468
         238        1.96    0.844538   0.0760715
         239           1    0.845188    0.075756
         240        0.16    0.842333   0.0754941
         241           0    0.838838   0.0752618
         242           1    0.839504   0.0749537
         243        1.44    0.841975    0.074686
         244        0.36        0.84    0.074406
         245        0.16    0.837224   0.0741541
         246           1    0.837886   0.0738556
         247        3.24    0.847611   0.0741941
         248        0.36    0.845645    0.073921
         249        0.36    0.843695   0.0736498
         250        1.96     0.84816   0.0734905
         251           4    0.860717   0.0742627
         252           4    0.873175   0.0750056
         253        0.04    0.869881   0.0747814
         254        0.36    0.867874   0.0745139
         255        0.04    0.864627   0.0742924
         256        0.04    0.861406    0.074072
         257           0    0.858054   0.0738596
         258        0.36    0.856124   0.0735985
         259        0.64     0.85529   0.0733191
         260        0.04    0.852154   0.0731041
         261        0.16    0.849502   0.0728721
         262        0.16     0.84687   0.0726415
         263           0     0.84365   0.0724366
         264        0.04    0.840606   0.0722262
         265        0.64    0.839849   0.0719576
         266        3.24    0.848872   0.0722506
         267           1    0.849438   0.0719822
         268        3.24    0.858358   0.0722642
         269        0.64    0.857546   0.0720001
         270        0.36    0.855704    0.071757
         271        0.36    0.853875   0.0715155
         272           1    0.854412   0.0712546
         273        0.64    0.853626   0.0709979
         274        0.16    0.851095   0.0707839
         275           1    0.851636   0.0705286
         276        1.96    0.855652   0.0703873
         277        3.24     0.86426   0.0706576
         278        1.44    0.866331   0.0704338
         279           1     0.86681   0.0701829
         280        1.44    0.868857   0.0699621
         281        1.96     0.87274   0.0698208
         282        1.44    0.874752   0.0696022
         283        2.56    0.880707   0.0696105
         284        5.76    0.897887   0.0714542
         285        2.56    0.903719    0.071441
         286        1.44    0.905594   0.0712159
         287        0.04    0.902578   0.0710316
         288        0.04    0.899583    0.070848
         289           0    0.896471   0.0706712
         290        0.04    0.893517   0.0704892
         291        0.36    0.891684   0.0702708
         292        0.04    0.888767   0.0700907
         293        0.04     0.88587   0.0699113
         294           0    0.882857   0.0697384
         295        1.96    0.886508   0.0695975
         296           1    0.886892   0.0693635
         297           1    0.887273    0.069131
         298        0.64    0.886443    0.068904
         299           0    0.883478   0.0687373
         300        0.64    0.882667   0.0685129
         301        0.64     0.88186     0.06829
         302        0.36    0.880132   0.0680858
         303        0.04     0.87736   0.0679175
         304        1.96    0.880921   0.0677874
         305           1    0.881311   0.0675663
         306        0.36    0.879608   0.0673669
         307        0.36    0.877915   0.0671688
         308        0.36    0.876234   0.0669717
         309        1.96    0.879741   0.0668468
         310           1    0.880129   0.0666323
         311        2.56    0.885531   0.0666366
         312        1.96    0.888974   0.0665119
         313        0.36    0.887284   0.0663209
         314           1    0.887643   0.0661107
         315        0.16    0.885333   0.0659411
         316           0    0.882532    0.065792
         317        1.96    0.885931   0.0656721
         318           4    0.895723   0.0661917
         319        3.24    0.903072   0.0663909
         320        2.56     0.90825    0.066385
         321        4.84    0.920498   0.0672987
         322        5.76    0.935528   0.0687475
         323        3.24    0.942663   0.0689038
         324        6.76    0.960617   0.0709919
         325           9    0.985354   0.0749593
         326           9     1.00994   0.0786578
         327        7.84     1.03083    0.081143
         328           4     1.03988    0.081399
         329        1.96     1.04267   0.0811997
         330        0.16        1.04   0.0809976
         331           0     1.03686   0.0808138
         332        0.04     1.03386   0.0806262
         333        0.36     1.03183   0.0804095
         334        0.36     1.02982   0.0801939
         335        0.64     1.02866   0.0799629
         336        0.16     1.02607   0.0797667
         337        0.36     1.02409   0.0795545
         338        0.64     1.02296   0.0793273
         339           1     1.02289   0.0790933
         340        1.44     1.02412   0.0788702
         341        0.16     1.02158   0.0786796
         342        0.64     1.02047   0.0784574
         343        1.44     1.02169   0.0782382
         344        0.36     1.01977   0.0780344
         345        0.04     1.01693   0.0778599
         346        2.56     1.02139   0.0777625
         347        2.56     1.02582   0.0776647
         348        0.64     1.02471   0.0774494
         349        2.56     1.02911   0.0773524
         350        1.96     1.03177   0.0771771
         351        0.04     1.02895   0.0770089
         352        0.16     1.02648   0.0768297
         353           0     1.02357    0.076667
         354        0.16     1.02113   0.0764893
         355        0.36     1.01927   0.0762965
         356        0.64      1.0182   0.0760896
         357        0.16      1.0158   0.0759144
         358        0.04     1.01307   0.0757513
         359        0.04     1.01036   0.0755888
         360           0     1.00756   0.0754309
         361        0.16     1.00521   0.0752585
         362        3.24     1.01138   0.0753033
         363           9     1.03339   0.0782456
         364        4.84     1.04385   0.0787264
         365        2.56       1.048   0.0786202
         366        0.16     1.04557   0.0784428
         367        0.64     1.04447   0.0782369
         368           1     1.04435   0.0780244
         369           4     1.05236    0.078223
         370        7.84      1.0707   0.0801339
