#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
          178      2.21648      9.64692     0.751193
          179      2.21648      9.60541     0.748137
          180      2.21648      9.56436     0.745101
          181      2.91482      9.52762     0.741883
          182      2.91482      9.49129      0.73869
          183      2.03605      9.45055     0.735771
          184      2.03605      9.41025      0.73287
          185      2.03605      9.37039     0.729987
          186      1.64293      9.32885     0.727239
          187      1.64293      9.28774     0.724506
          188      1.02409      9.24379     0.721982
          189      1.07068      9.20055     0.719452
          190      1.07068      9.15776     0.716934
          191      1.07068      9.11542     0.714426
          192      1.07068      9.07352     0.711929
          193     0.949123      9.03142     0.709481
          194     0.632476      8.98813     0.707141
          195     0.632476      8.94528     0.704809
          196     0.632476      8.90287     0.702485
          197     0.632476      8.86088      0.70017
          198     0.211335       8.8172     0.697993
          199     0.211335      8.77395     0.695822
          200     0.211335      8.73114     0.693657
          201     0.211335      8.68875     0.691497
          202     0.211335      8.64679     0.689344
          203     0.211335      8.60523     0.687197
          204     0.211335      8.56409     0.685057
          205     0.211335      8.52334     0.682924
          206     0.211335      8.48299     0.680797
          207     0.211335      8.44303     0.678678
          208     0.211335      8.40346     0.676566
          209     0.211335      8.36426     0.674461
          210     0.211335      8.32544     0.672363
          211      1.39262      8.29258     0.669975
          212      1.39262      8.26003     0.667601
          213      1.17886      8.22679     0.665291
          214      1.17886      8.19385     0.662993
          215      1.17886      8.16122     0.660708
          216      1.17886       8.1289     0.658436
          217      1.66721      8.09912     0.656071
          218      1.66721      8.06962     0.653721
          219      1.66721      8.04038     0.651385
          220      1.66721      8.01141     0.649065
          221      1.66721      7.98271     0.646758
          222     0.761165      7.95018      0.64466
          223     0.761165      7.91794     0.642572
          224     0.761165      7.88599     0.640494
          225     0.761165      7.85432     0.638427
          226     0.761165      7.82294      0.63637
          227     0.761165      7.79183     0.634324
          228     0.761165      7.76099     0.632288
          229     0.761165      7.73043     0.630262
          230     0.761165      7.70012     0.628247
          231     0.761165      7.67009     0.626242
          232     0.761165      7.64031     0.624248
          233     0.761165      7.61078     0.622264
          234     0.761165      7.58151      0.62029
