#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     3.03741     3.02684 0.000946215
         169     3.03792     3.02691 0.000942886
         170     3.03841     3.02697 0.000939764
         171     3.03887     3.02704 0.000936838
         172      3.0393     3.02711 0.000934098
         173     3.03971     3.02719 0.000931534
         174      3.0401     3.02726 0.000929133
         175     3.04047     3.02734 0.000926885
         176     3.04082     3.02741 0.000924777
         177     3.04114     3.02749 0.000922798
         178     3.04144     3.02757 0.000920936
         179     3.04172     3.02765  0.00091918
         180     3.04199     3.02773 0.000917518
         181     3.04223     3.02781  0.00091594
         182     3.04245     3.02789 0.000914434
         183     3.04265     3.02797 0.000912991
         184     3.04284     3.02805 0.000911599
         185     3.04301     3.02813 0.000910249
         186     3.04315     3.02821 0.000908931
         187     3.04328     3.02829 0.000907637
         188     3.04339     3.02837 0.000906357
         189     3.04349     3.02845 0.000905083
         190     3.04356     3.02853 0.000903806
         191     3.04362     3.02861  0.00090252
         192     3.04366     3.02869 0.000901216
         193     3.04368     3.02877 0.000899888
         194     3.04368     3.02884 0.000898528
         195     3.04367     3.02892 0.000897131
         196     3.04364       3.029  0.00089569
         197     3.04358     3.02907 0.000894199
         198     3.04351     3.02914 0.000892654
         199     3.04342     3.02921 0.000891049
         200     3.04332     3.02928 0.000889379
         201     3.04319     3.02935  0.00088764
         202     3.04304     3.02942 0.000885828
         203     3.04287     3.02949  0.00088394
         204     3.04269     3.02955 0.000881971
         205     3.04248     3.02962 0.000879919
         206     3.04225     3.02968 0.000877782
         207       3.042     3.02974 0.000875557
         208     3.04172     3.02979 0.000873242
         209     3.04143     3.02985 0.000870837
         210     3.04111      3.0299  0.00086834
         211     3.04077     3.02995 0.000865752
         212     3.04041        3.03 0.000863071
         213     3.04002     3.03005   0.0008603
         214     3.03961      3.0301  0.00085744
         215     3.03918     3.03014 0.000854492
         216     3.03872     3.03018 0.000851459
         217     3.03824     3.03021 0.000848345
         218     3.03773     3.03025 0.000845154
         219      3.0372     3.03028  0.00084189
         220     3.03664     3.03031 0.000838559
         221     3.03606     3.03034 0.000835168
         222     3.03545     3.03036 0.000831724
         223     3.03482     3.03038 0.000828235
         224     3.03417      3.0304 0.000824711
         225     3.03349     3.03041  0.00082116
         226     3.03279     3.03042 0.000817594
         227     3.03206     3.03043 0.000814024
         228     3.03132     3.03043 0.000810463
         229     3.03055     3.03043 0.000806924
         230     3.02976     3.03043 0.000803421
         231     3.02896     3.03042 0.000799968
         232     3.02813     3.03041 0.000796581
         233     3.02729      3.0304 0.000793275
         234     3.02644     3.03038 0.000790066
         235     3.02557     3.03036 0.000786969
         236     3.02469     3.03034 0.000784002
         237      3.0238     3.03031 0.000781179
         238      3.0229     3.03028 0.000778517
         239       3.022     3.03024 0.000776031
         240     3.02109     3.03021 0.000773734
         241     3.02018     3.03016 0.000771641
         242     3.01928     3.03012 0.000769763
         243     3.01837     3.03007 0.000768111
         244     3.01748     3.03002 0.000766696
         245     3.01659     3.02996 0.000765524
         246     3.01571     3.02991 0.000764601
         247     3.01485     3.02985 0.000763932
         248       3.014     3.02978 0.000763519
         249     3.01317     3.02972 0.000763362
         250     3.01236     3.02965 0.000763458
         251     3.01157     3.02957 0.000763804
         252     3.01081      3.0295 0.000764394
         253     3.01007     3.02942 0.000765218
         254     3.00937     3.02934 0.000766269
         255     3.00869     3.02926 0.000767535
         256     3.00804     3.02918 0.000769002
         257     3.00742      3.0291 0.000770657
         258     3.00683     3.02901 0.000772486
         259     3.00628     3.02892 0.000774472
         260     3.00576     3.02883 0.000776599
         261     3.00527     3.02874  0.00077885
         262     3.00482     3.02865  0.00078121
         263      3.0044     3.02856 0.000783662
         264     3.00402     3.02847 0.000786188
         265     3.00366     3.02837 0.000788774
         266     3.00334     3.02828 0.000791404
         267     3.00304     3.02818 0.000794064
         268     3.00278     3.02809 0.000796739
         269     3.00254     3.02799 0.000799416
         270     3.00233      3.0279 0.000802084
         271     3.00215      3.0278 0.000804732
         272     3.00199     3.02771 0.000807349
