#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     2.74131     2.74208 5.91096e-05
         153     2.74133     2.74208 5.89269e-05
         154     2.74135     2.74207 5.87322e-05
         155     2.74137     2.74207 5.85257e-05
         156      2.7414     2.74206 5.83076e-05
         157     2.74143     2.74206 5.80775e-05
         158     2.74145     2.74206 5.78372e-05
         159     2.74148     2.74205 5.75872e-05
         160      2.7415     2.74205 5.73286e-05
         161     2.74153     2.74204 5.70621e-05
         162     2.74157     2.74204 5.67863e-05
         163     2.74159     2.74204 5.65045e-05
         164     2.74162     2.74204  5.6219e-05
         165     2.74164     2.74203 5.59296e-05
         166     2.74167     2.74203 5.56366e-05
         167     2.74169     2.74203 5.53412e-05
         168     2.74172     2.74203 5.50435e-05
         169     2.74174     2.74203 5.47437e-05
         170     2.74176     2.74202 5.44433e-05
         171     2.74179     2.74202 5.41424e-05
         172     2.74181     2.74202 5.38413e-05
         173     2.74184     2.74202 5.35406e-05
         174     2.74186     2.74202 5.32412e-05
         175     2.74188     2.74202 5.29432e-05
         176      2.7419     2.74202 5.26469e-05
         177     2.74192     2.74202 5.23523e-05
         178     2.74195     2.74202 5.20597e-05
         179     2.74197     2.74202 5.17697e-05
         180     2.74198     2.74202 5.14824e-05
         181       2.742     2.74202  5.1198e-05
         182     2.74202     2.74202 5.09167e-05
         183     2.74204     2.74202 5.06386e-05
         184     2.74206     2.74202  5.0364e-05
         185     2.74208     2.74202 5.00929e-05
         186      2.7421     2.74202 4.98256e-05
         187     2.74212     2.74202  4.9562e-05
         188     2.74213     2.74202 4.93021e-05
         189     2.74216     2.74202 4.90466e-05
         190     2.74217     2.74202  4.8795e-05
         191     2.74219     2.74202 4.85476e-05
         192     2.74221     2.74202 4.83043e-05
         193     2.74222     2.74202  4.8065e-05
         194     2.74224     2.74203 4.78295e-05
         195     2.74226     2.74203 4.75989e-05
         196     2.74227     2.74203 4.73722e-05
         197     2.74229     2.74203 4.71503e-05
         198      2.7423     2.74203 4.69327e-05
         199     2.74233     2.74203 4.67205e-05
         200     2.74234     2.74203 4.65128e-05
         201     2.74236     2.74203 4.63099e-05
         202     2.74238     2.74204 4.61114e-05
         203     2.74239     2.74204 4.59178e-05
         204     2.74241     2.74204 4.57288e-05
         205     2.74243     2.74204 4.55454e-05
         206     2.74245     2.74204 4.53677e-05
         207     2.74247     2.74205  4.5196e-05
         208      2.7425     2.74205 4.50314e-05
         209     2.74252     2.74205 4.48731e-05
         210     2.74255     2.74205 4.47213e-05
         211     2.74256     2.74206 4.45749e-05
         212     2.74258     2.74206  4.4434e-05
         213     2.74261     2.74206 4.42999e-05
         214     2.74263     2.74206 4.41729e-05
         215     2.74265     2.74207  4.4053e-05
         216     2.74268     2.74207 4.39411e-05
         217      2.7427     2.74207 4.38359e-05
         218     2.74273     2.74207 4.37374e-05
         219     2.74275     2.74208 4.36465e-05
         220     2.74278     2.74208 4.35631e-05
         221      2.7428     2.74208 4.34864e-05
         222     2.74282     2.74209 4.34173e-05
         223     2.74285     2.74209 4.33582e-05
         224     2.74288     2.74209 4.33071e-05
         225      2.7429      2.7421 4.32642e-05
         226     2.74293      2.7421 4.32272e-05
         227     2.74295     2.74211 4.31969e-05
         228     2.74297     2.74211 4.31728e-05
         229     2.74299     2.74211 4.31546e-05
         230     2.74301     2.74212 4.31418e-05
         231     2.74303     2.74212 4.31338e-05
         232     2.74304     2.74212 4.31292e-05
         233     2.74305     2.74213 4.31273e-05
         234     2.74307     2.74213 4.31283e-05
         235     2.74308     2.74214 4.31324e-05
         236     2.74309     2.74214  4.3138e-05
         237      2.7431     2.74214 4.31442e-05
