#      	   X:		    Y:		  	 Z:
    -0.366198   -0.0766821    -0.538076
    -0.366198   -0.0766821    -0.538076
    -0.366198   -0.0766821    -0.538076
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
    -0.224955     0.748308     0.330333
     -2.08109    -0.199107      -0.9031
     -2.08109    -0.199107      -0.9031
    -0.526118     0.712497     -1.51324
    -0.165217     -1.60758     0.272615
    -0.165217     -1.60758     0.272615
     -1.64981      0.16236    -0.525324
    -0.287016    -0.336145    -0.107277
    -0.287016    -0.336145    -0.107277
    -0.287016    -0.336145    -0.107277
    -0.287016    -0.336145    -0.107277
    -0.287016    -0.336145    -0.107277
    -0.287016    -0.336145    -0.107277
     0.712986     -1.77361     -1.60198
     0.712986     -1.77361     -1.60198
     0.970473      -1.7542    -0.211653
     0.970473      -1.7542    -0.211653
       1.5732     0.336156     0.585589
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
     0.352932     0.354857    -0.830477
    -0.030913    -0.707306     -0.66164
    -0.030913    -0.707306     -0.66164
     0.149972    -0.245991       0.6616
     0.149972    -0.245991       0.6616
     0.149972    -0.245991       0.6616
     0.149972    -0.245991       0.6616
      1.58731    -0.188001       1.3623
      1.22055     -1.14603      1.17701
      1.22055     -1.14603      1.17701
     -1.06789     0.955418    -0.618168
     -1.06789     0.955418    -0.618168
     -1.06789     0.955418    -0.618168
     -1.06789     0.955418    -0.618168
     -1.06789     0.955418    -0.618168
     -1.06789     0.955418    -0.618168
     -1.06789     0.955418    -0.618168
      -1.7372     0.640712    -0.795491
     0.187603      1.02147    -0.196248
     0.187603      1.02147    -0.196248
    0.0544512     0.491877     0.650897
    0.0544512     0.491877     0.650897
    -0.760931    0.0516879     0.745038
    -0.760931    0.0516879     0.745038
    -0.760931    0.0516879     0.745038
    -0.760931    0.0516879     0.745038
    -0.760931    0.0516879     0.745038
     0.809843    -0.528706     0.220832
     0.809843    -0.528706     0.220832
     0.809843    -0.528706     0.220832
     0.188752     0.906214     -1.46481
     0.188752     0.906214     -1.46481
     0.977146      1.43753     -1.35666
      1.88216     0.149647     -1.43846
      2.65239    -0.792026       1.1485
      2.65239    -0.792026       1.1485
      2.65239    -0.792026       1.1485
      2.65239    -0.792026       1.1485
      2.77321      -1.1593    -0.530911
      2.77321      -1.1593    -0.530911
      2.77321      -1.1593    -0.530911
      2.77321      -1.1593    -0.530911
      2.77321      -1.1593    -0.530911
      2.77321      -1.1593    -0.530911
      2.77321      -1.1593    -0.530911
      2.77321      -1.1593    -0.530911
      1.56711     -1.81989     -2.07519
    -0.876182       0.1569     0.914841
    -0.876182       0.1569     0.914841
    -0.876182       0.1569     0.914841
    -0.876182       0.1569     0.914841
    -0.876182       0.1569     0.914841
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
      0.62607     0.184901    -0.171498
     0.509552     0.824741    -0.361138
     0.509552     0.824741    -0.361138
    -0.271761    0.0329833     -0.91752
    -0.271761    0.0329833     -0.91752
    -0.271761    0.0329833     -0.91752
    -0.271761    0.0329833     -0.91752
    -0.271761    0.0329833     -0.91752
     -1.25326     0.905389     -1.27235
     -1.25326     0.905389     -1.27235
     -1.25326     0.905389     -1.27235
     -1.01887     0.647401     -1.72341
       0.5063     -1.00291     -1.32076
       0.5063     -1.00291     -1.32076
       0.5063     -1.00291     -1.32076
      2.62767     -0.18149      1.42847
      2.62767     -0.18149      1.42847
      1.54418      1.78507     -1.59918
      1.54418      1.78507     -1.59918
      1.54418      1.78507     -1.59918
     0.258933       1.4117     -1.90868
     0.509687      1.27305   -0.0939679
     0.509687      1.27305   -0.0939679
     -1.63421      1.77579     -1.76253
     -1.63421      1.77579     -1.76253
     -2.34737     0.649683      -2.2103
     -2.47058     -0.29535    -0.391999
     -2.47058     -0.29535    -0.391999
     -2.47058     -0.29535    -0.391999
    -0.815056    -0.443956      1.51373
    -0.834442    -0.504623       -1.334
    -0.834442    -0.504623       -1.334
    -0.834442    -0.504623       -1.334
    -0.834442    -0.504623       -1.334
    -0.159368     -1.37842    -0.428093
    -0.375034    -0.457866     0.325821
    -0.375034    -0.457866     0.325821
      1.02433     0.476211     -0.81283
      1.02433     0.476211     -0.81283
     0.762487    -0.580965      0.55054
     0.762487    -0.580965      0.55054
     0.762487    -0.580965      0.55054
    -0.464479     -1.18894      1.79994
    -0.464479     -1.18894      1.79994
     -1.19739  -0.00744224      2.33828
     -1.19739  -0.00744224      2.33828
     -1.19739  -0.00744224      2.33828
     -1.19739  -0.00744224      2.33828
     -3.00573     -1.86843       1.4695
     -3.00573     -1.86843       1.4695
     -3.00573     -1.86843       1.4695
     -3.00573     -1.86843       1.4695
     0.273181      -2.0882    -0.181469
      1.70762    -0.700109   -0.0281328
      1.70762    -0.700109   -0.0281328
     0.693633    -0.400185     0.963729
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
     0.329442     0.636089    -0.757271
    -0.482314     0.243871      0.13411
    -0.482314     0.243871      0.13411
    -0.482314     0.243871      0.13411
    -0.482314     0.243871      0.13411
    -0.482314     0.243871      0.13411
    -0.482314     0.243871      0.13411
    -0.482314     0.243871      0.13411
     0.202192     -0.91478     0.747975
     0.202192     -0.91478     0.747975
     0.202192     -0.91478     0.747975
     0.760919   -0.0791106     -1.18726
     -2.21172    -0.185915     -1.02985
     -2.71132     0.121433    -0.374635
     -2.71132     0.121433    -0.374635
     -2.71132     0.121433    -0.374635
     -2.71132     0.121433    -0.374635
     -1.91307    -0.234783     -0.53223
      1.18801    -0.251052     0.725806
    -0.764372      -1.4149     0.620147
    -0.764372      -1.4149     0.620147
    -0.764372      -1.4149     0.620147
    -0.764372      -1.4149     0.620147
     -1.28403      1.21187    -0.852293
     -1.28403      1.21187    -0.852293
      -1.7296     0.859111     0.863946
     -1.26265     -1.78893    0.0694377
     -1.26265     -1.78893    0.0694377
     -1.26265     -1.78893    0.0694377
     -2.17011     -1.27621    -0.432063
      0.91332     -1.25076     -1.77056
      0.91332     -1.25076     -1.77056
       0.6466     -1.42018     -1.86991
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     0.700947     -0.96778    -0.706669
     -0.26489     -1.25401     0.110756
     -0.26489     -1.25401     0.110756
     -0.26489     -1.25401     0.110756
     -0.26489     -1.25401     0.110756
     0.422249     -1.19538    -0.518947
    -0.577763     0.293035     -1.22763
    -0.381173    -0.317709     -1.60186
    -0.381173    -0.317709     -1.60186
     0.680067     -1.44947    -0.182488
     0.680067     -1.44947    -0.182488
     0.680067     -1.44947    -0.182488
     -1.06338    -0.457098   -0.0998169
     0.579005     0.807416     -0.54869
     0.482845     0.745383    -0.239824
     0.482845     0.745383    -0.239824
     0.482845     0.745383    -0.239824
     0.482845     0.745383    -0.239824
   -0.0456271    0.0393074     -1.00729
   -0.0456271    0.0393074     -1.00729
   -0.0456271    0.0393074     -1.00729
   -0.0456271    0.0393074     -1.00729
   -0.0456271    0.0393074     -1.00729
   -0.0456271    0.0393074     -1.00729
   -0.0456271    0.0393074     -1.00729
    -0.213912      1.96162    -0.860378
    -0.213912      1.96162    -0.860378
    -0.213912      1.96162    -0.860378
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
      1.05575      2.32207   -0.0846184
    -0.957229      1.65403      -3.0348
     -0.49858      3.09914     -2.09811
     -1.87838      3.31056     -1.52745
     -1.01238      3.87196     0.339166
     -1.01238      3.87196     0.339166
      1.11834       2.1999     0.959683
      1.11834       2.1999     0.959683
      1.11834       2.1999     0.959683
      1.11834       2.1999     0.959683
      1.11834       2.1999     0.959683
      2.82467      1.65485     0.535012
      2.82467      1.65485     0.535012
      2.46718     0.830585     0.291916
      2.46718     0.830585     0.291916
    0.0684481     -1.11269    -0.204246
    0.0684481     -1.11269    -0.204246
    0.0684481     -1.11269    -0.204246
     0.260381     -3.03734      2.62556
     0.260381     -3.03734      2.62556
   -0.0034581      -3.9099      2.17049
      2.53563    0.0857588      1.04902
      2.53563    0.0857588      1.04902
    -0.458673     0.144184      1.03505
    -0.458673     0.144184      1.03505
    -0.458673     0.144184      1.03505
    -0.458673     0.144184      1.03505
    -0.912523    0.0725375    -0.522037
    -0.912523    0.0725375    -0.522037
      1.19352     0.836408    -0.713248
      1.38312     0.412637     -1.72205
      1.38312     0.412637     -1.72205
      1.38312     0.412637     -1.72205
      1.38312     0.412637     -1.72205
      1.38312     0.412637     -1.72205
      1.38312     0.412637     -1.72205
      1.38312     0.412637     -1.72205
      1.38312     0.412637     -1.72205
      2.81595      1.34679     -1.16169
      2.81595      1.34679     -1.16169
      2.81595      1.34679     -1.16169
      3.24956      1.22636   -0.0606261
      3.24956      1.22636   -0.0606261
      3.24956      1.22636   -0.0606261
      2.38744      2.32236       1.5727
      2.42666      1.01719      2.83673
      2.42666      1.01719      2.83673
      2.15536      1.87013      0.94599
      2.15536      1.87013      0.94599
      2.15536      1.87013      0.94599
      2.03385      1.92159      0.94264
      2.27137      1.68752      0.59609
      2.23924   -0.0229526    -0.764408
      1.48594     0.546246    -0.285885
      1.48594     0.546246    -0.285885
      1.00104     -1.45801     0.343471
    -0.554871      1.23803    -0.213025
    -0.554871      1.23803    -0.213025
    -0.554871      1.23803    -0.213025
    -0.554871      1.23803    -0.213025
    -0.833712    -0.360069    -0.163386
    -0.833712    -0.360069    -0.163386
