#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1       23.04       23.04           0
           2          36       29.52     4.58205
           3       27.04     28.6933     3.12838
           4       12.96       24.76     4.13623
           5          16      23.008     3.66128
           6       23.04     23.0133     3.05107
           7       23.04     23.0171     2.61521
           8       23.04       23.02     2.28831
           9       31.36     23.9467     2.21374
          10       27.04      24.256     2.01387
          11       12.96     23.2291     2.07616
          12       12.96     22.3733     2.07202
          13          16     21.8831     1.96978
          14       31.36       22.56     1.94192
          15       23.04      22.592     1.81272
          16          36       23.43     1.88319
          17       27.04     23.6424     1.78434
          18       31.36     24.0711     1.73596
          19       27.04     24.2274     1.65161
          20       31.36      24.584     1.60708
          21       31.36     24.9067      1.5626
          22          36     25.4109     1.57083
          23       31.36     25.6696     1.52368
          24       27.04     25.7267     1.46126
          25       23.04     25.6192     1.40676
          26       31.36       25.84     1.36987
          27       31.36     26.0444      1.3343
          28          36        26.4     1.33318
          29       31.36      26.571     1.29813
          30       40.96     27.0507     1.34054
          31       31.36     27.1897     1.30449
          32          36      27.465     1.29245
          33          36     27.7236      1.2789
          34       46.24     28.2682     1.35228
          35       51.84     28.9417     1.47183
          36          64     29.9156     1.72326
          37       57.76     30.6681     1.83366
          38       70.56     31.7179     2.06415
          39       84.64     33.0749     2.41644
          40         100      34.748     2.87754
          41         100     36.3395     3.21751
          42       92.16     37.6686     3.40436
          43       77.44     38.5935     3.44854
          44       84.64       39.64     3.52538
          45       70.56     40.3271     3.51336
          46       92.16     41.4539     3.61316
          47         100     42.6996     3.74486
          48         100     43.8933     3.85241
          49         100     45.0384     3.94029
          50         100     46.1376     4.01188
          51         100     47.1937     4.06986
          52         100     48.2092     4.11633
          53         100     49.1864     4.15304
          54         100     50.1274     4.18137
          55         100     51.0342     4.20252
          56         100     51.9086     4.21746
          57         100     52.7523     4.22702
          58         100     53.5669     4.23191
          59         100     54.3539     4.23272
          60         100     55.1147     4.22999
          61       84.64     55.5987     4.18825
          62          64     55.7342     4.12289
          63       70.56     55.9695     4.06416
          64       70.56     56.1975     4.00704
          65       51.84     56.1305     3.94596
          66       51.84     56.0655     3.88671
          67       70.56     56.2818     3.83471
          68         100     56.9247     3.83184
          69         100      57.549     3.82682
          70         100     58.1554      3.8199
          71         100     58.7448     3.81129
          72         100     59.3178     3.80118
          73         100     59.8751     3.78974
          74         100     60.4173     3.77712
          75         100     60.9451     3.76345
          76         100     61.4589     3.74885
          77         100     61.9595     3.73343
          78         100     62.4472     3.71729
          79         100     62.9225      3.7005
          80         100      63.386     3.68315
          81         100      63.838     3.66531
          82         100      64.279     3.64705
          83         100     64.7094     3.62841
          84         100     65.1295     3.60946
          85         100     65.5398     3.59023
          86         100     65.9405     3.57078
          87         100      66.332     3.55113
          88         100     66.7145     3.53132
          89         100     67.0885     3.51139
          90         100     67.4542     3.49137
          91         100     67.8119     3.47127
          92         100     68.1617     3.45113
          93         100     68.5041     3.43096
          94         100     68.8391     3.41078
          95         100     69.1672     3.39061
          96         100     69.4883     3.37047
          97         100     69.8029     3.35037
          98         100      70.111     3.33032
          99         100     70.4129     3.31034
         100         100     70.7088     3.29043
         101         100     70.9988     3.27061
         102         100     71.2831     3.25088
         103         100     71.5619     3.23125
         104         100     71.8354     3.21173
         105         100     72.1036     3.19232
         106         100     72.3668     3.17303
         107         100      72.625     3.15387
         108         100     72.8785     3.13484
         109         100     73.1273     3.11594
         110         100     73.3716     3.09717
         111         100     73.6115     3.07855
         112         100     73.8471     3.06006
         113         100     74.0786     3.04172
         114         100      74.306     3.02353
         115         100     74.5294     3.00548
         116         100      74.749     2.98758
         117         100     74.9648     2.96983
         118         100     75.1769     2.95223
         119         100     75.3855     2.93478
         120         100     75.5907     2.91749
         121         100     75.7924     2.90034
         122         100     75.9908     2.88335
         123         100      76.186      2.8665
         124         100     76.3781     2.84981
         125         100      76.567     2.83327
         126         100      76.753     2.81688
         127         100     76.9361     2.80065
         128         100     77.1163     2.78456
         129         100     77.2936     2.76861
         130         100     77.4683     2.75282
         131         100     77.6403     2.73718
         132         100     77.8097     2.72168
         133         100     77.9765     2.70632
         134         100     78.1409     2.69111
         135         100     78.3028     2.67604
         136         100     78.4624     2.66112
         137         100     78.6196     2.64633
         138         100     78.7745     2.63169
         139         100     78.9272     2.61718
         140         100     79.0777     2.60281
         141         100     79.2261     2.58858
         142         100     79.3724     2.57448
         143         100     79.5166     2.56052
         144         100     79.6589     2.54668
         145         100     79.7992     2.53298
         146         100     79.9375     2.51941
         147         100      80.074     2.50596
         148         100     80.2086     2.49264
         149         100     80.3415     2.47945
         150         100     80.4725     2.46638
         151         100     80.6019     2.45344
         152         100     80.7295     2.44061
         153         100     80.8554     2.42791
         154         100     80.9797     2.41532
         155         100     81.1025     2.40286
         156         100     81.2236      2.3905
         157         100     81.3432     2.37827
         158         100     81.4613     2.36615
         159         100     81.5779     2.35413
         160         100      81.693     2.34224
         161         100     81.8067     2.33045
         162         100      81.919     2.31876
         163         100     82.0299     2.30719
         164         100     82.1395     2.29572
         165         100     82.2478     2.28436
         166         100     82.3547      2.2731
         167         100     82.4604     2.26194
         168         100     82.5648     2.25089
         169       84.64      82.577      2.2376
         170       84.64     82.5892     2.22447
         171         100      82.691     2.21379
         172         100     82.7916     2.20321
         173         100     82.8911     2.19272
         174         100     82.9894     2.18232
         175         100     83.0866     2.17201
         176         100     83.1827      2.1618
         177         100     83.2777     2.15167
         178         100     83.3717     2.14163
         179         100     83.4646     2.13168
         180         100     83.5564     2.12182
         181         100     83.6473     2.11204
         182         100     83.7371     2.10234
         183         100      83.826     2.09273
         184         100     83.9139      2.0832
         185         100     84.0009     2.07376
         186         100     84.0869     2.06439
         187         100      84.172     2.05511
         188         100     84.2562      2.0459
         189         100     84.3395     2.03677
         190         100     84.4219     2.02772
         191         100     84.5035     2.01874
         192         100     84.5842     2.00984
         193         100      84.664     2.00101
         194         100     84.7431     1.99226
         195         100     84.8213     1.98358
         196         100     84.8988     1.97497
         197         100     84.9754     1.96643
         198         100     85.0513     1.95796
         199         100     85.1264     1.94956
         200         100     85.2008     1.94123
         201         100     85.2744     1.93297
         202         100     85.3473     1.92478
         203         100     85.4195     1.91665
         204         100      85.491     1.90858
         205         100     85.5618     1.90058
         206         100     85.6318     1.89265
         207         100     85.7013     1.88478
         208         100       85.77     1.87697
         209         100     85.8381     1.86923
         210         100     85.9055     1.86154
         211         100     85.9723     1.85392
         212         100     86.0385     1.84635
         213         100      86.104     1.83885
         214         100      86.169      1.8314
         215         100     86.2333     1.82401
         216         100      86.297     1.81668
         217         100     86.3602     1.80941
         218         100     86.4228     1.80219
         219         100     86.4847     1.79502
         220         100     86.5462     1.78792
         221         100     86.6071     1.78086
         222         100     86.6674     1.77386
         223         100     86.7272     1.76691
         224         100     86.7864     1.76002
         225         100     86.8452     1.75318
         226         100     86.9034     1.74638
         227         100     86.9611     1.73964
         228         100     87.0182     1.73295
         229         100     87.0749     1.72631
         230         100     87.1311     1.71972
         231         100     87.1868     1.71318
         232         100     87.2421     1.70669
         233         100     87.2968     1.70024
         234         100     87.3511     1.69384
         235         100     87.4049     1.68749
         236         100     87.4583     1.68118
         237         100     87.5112     1.67492
         238         100     87.5637      1.6687
         239         100     87.6157     1.66253
         240         100     87.6673     1.65641
         241         100     87.7185     1.65032
         242         100     87.7693     1.64428
         243         100     87.8196     1.63829
         244         100     87.8695     1.63233
         245         100      87.919     1.62642
         246         100     87.9681     1.62055
         247         100     88.0168     1.61472
         248         100     88.0652     1.60893
         249         100     88.1131     1.60319
         250         100     88.1606     1.59748
         251         100     88.2078     1.59181
         252         100     88.2546     1.58618
         253         100      88.301     1.58059
         254         100     88.3471     1.57504
         255         100     88.3928     1.56952
         256         100     88.4381     1.56405
         257         100     88.4831     1.55861
         258         100     88.5278     1.55321
         259         100      88.572     1.54784
         260         100      88.616     1.54251
         261         100     88.6596     1.53722
         262         100     88.7029     1.53196
         263         100     88.7459     1.52674
         264         100     88.7885     1.52155
         265         100     88.8308      1.5164
         266         100     88.8728     1.51128
         267         100     88.9145     1.50619
         268         100     88.9558     1.50114
         269         100     88.9969     1.49612
         270         100     89.0376     1.49113
         271         100     89.0781     1.48618
         272         100     89.1182     1.48126
         273         100     89.1581     1.47637
         274         100     89.1977     1.47151
         275         100     89.2369     1.46668
         276         100     89.2759     1.46189
         277         100     89.3147     1.45712
         278         100     89.3531     1.45239
         279         100     89.3913     1.44768
         280         100     89.4291     1.44301
         281         100     89.4668     1.43836
         282         100     89.5041     1.43375
         283         100     89.5412     1.42916
         284         100      89.578      1.4246
         285         100     89.6146     1.42008
         286         100     89.6509     1.41557
         287         100      89.687      1.4111
         288         100     89.7228     1.40666
         289         100     89.7583     1.40224
         290         100     89.7937     1.39785
         291         100     89.8287     1.39348
         292         100     89.8636     1.38915
         293         100     89.8982     1.38484
         294         100     89.9325     1.38055
         295         100     89.9666     1.37629
         296         100     90.0005     1.37206
         297         100     90.0342     1.36785
         298         100     90.0677     1.36367
         299         100     90.1009     1.35952
         300         100     90.1339     1.35539
         301         100     90.1666     1.35128
         302         100     90.1992      1.3472
         303         100     90.2316     1.34314
         304         100     90.2637     1.33911
         305         100     90.2956      1.3351
         306         100     90.3273     1.33111
         307         100     90.3588     1.32715
         308         100     90.3901     1.32321
         309         100     90.4212     1.31929
         310         100     90.4521      1.3154
         311         100     90.4828     1.31152
         312         100     90.5133     1.30767
         313         100     90.5436     1.30385
         314         100     90.5738     1.30004
         315         100     90.6037     1.29626
         316         100     90.6334      1.2925
         317         100      90.663     1.28876
         318         100     90.6923     1.28504
         319         100     90.7215     1.28134
         320         100     90.7505     1.27767
         321         100     90.7793     1.27401
         322         100      90.808     1.27038
         323         100     90.8364     1.26676
         324         100     90.8647     1.26317
         325         100     90.8928      1.2596
         326         100     90.9207     1.25604
         327         100     90.9485     1.25251
         328         100     90.9761     1.24899
         329         100     91.0035      1.2455
         330         100     91.0308     1.24202
         331         100     91.0579     1.23857
         332         100     91.0848     1.23513
         333         100     91.1116     1.23171
         334         100     91.1382     1.22831
         335         100     91.1647     1.22493
         336         100      91.191     1.22156
         337         100     91.2171     1.21822
         338         100     91.2431     1.21489
         339         100     91.2689     1.21158
         340         100     91.2946     1.20829
         341         100     91.3201     1.20502
         342         100     91.3455     1.20176
         343         100     91.3707     1.19852
         344         100     91.3958      1.1953
         345         100     91.4208      1.1921
         346         100     91.4455     1.18891
         347         100     91.4702     1.18574
         348         100     91.4947     1.18258
         349         100     91.5191     1.17945
         350         100     91.5433     1.17632
         351         100     91.5674     1.17322
         352         100     91.5914     1.17013
         353         100     91.6152     1.16706
         354         100     91.6389       1.164
         355         100     91.6624     1.16096
         356         100     91.6858     1.15794
         357         100     91.7091     1.15493
         358         100     91.7323     1.15193
         359         100     91.7553     1.14896
         360         100     91.7782     1.14599
         361         100      91.801     1.14304
         362         100     91.8236     1.14011
         363         100     91.8462     1.13719
         364         100     91.8686     1.13429
         365         100     91.8908      1.1314
         366         100      91.913     1.12853
         367         100      91.935     1.12567
         368         100      91.957     1.12282
         369         100     91.9788     1.11999
         370         100     92.0004     1.11717
         371         100      92.022     1.11437
