#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.255343    0.255343           0
           2    0.252621    0.253982  0.00096252
           3    0.252267    0.253411 0.000793439
           4    0.246945    0.251794  0.00152111
           5    0.249142    0.251264   0.0013061
           6    0.249749    0.251011  0.00111253
           7    0.253893    0.251423  0.00102695
           8    0.253233    0.251649 0.000923168
           9    0.256876     0.25223 0.000986495
          10    0.249733     0.25198 0.000918897
          11    0.251503    0.251937 0.000836383
          12    0.251802    0.251926 0.000766761
          13    0.251653    0.251905 0.000708065
          14    0.251026    0.251842 0.000660265
          15    0.249558     0.25169 0.000633558
          16    0.252098    0.251715 0.000594475
          17    0.251643    0.251711  0.00055952
          18    0.250526    0.251645 0.000532298
          19    0.252867    0.251709 0.000508149
          20    0.250369    0.251642 0.000487143
