#   N_BLOCK:  ACCEPTANCE:
           1    0.444493
           2    0.446097
           3    0.446027
           4    0.445914
           5     0.44582
           6    0.446086
           7     0.44574
           8    0.445764
           9     0.44592
          10    0.445752
          11    0.445732
          12    0.445595
          13    0.445609
          14    0.445569
          15    0.445664
          16    0.445677
          17    0.445765
          18    0.445701
          19    0.445569
          20    0.445629
