#      BLOCK:  	 ACTUAL_H:       H_AVE:       ERROR:
          153    -0.644141    -0.485527    0.0251882
          154    -0.644141    -0.486557    0.0250453
          155    -0.160949    -0.484456    0.0249717
          156    -0.160949    -0.482383    0.0248977
          157    -0.160949    -0.480335    0.0248231
          158    -0.160949    -0.478314    0.0247482
          159    -0.160949    -0.476318     0.024673
          160    -0.289207    -0.475148    0.0245461
          161    -0.289207    -0.473994    0.0244205
          162    -0.787876    -0.475931    0.0243465
          163    -0.158914    -0.473986    0.0242747
          164    -0.158914    -0.472065    0.0242026
          165     -1.02279    -0.475403     0.024286
          166     -1.02279      -0.4787    0.0243634
          167    -0.161082    -0.476798    0.0242916
          168    -0.161082    -0.474919    0.0242196
          169    -0.197793    -0.473279    0.0241317
          170    -0.197793    -0.471659     0.024044
          171    -0.197793    -0.470057    0.0239565
          172    -0.197793    -0.468474    0.0238694
          173    -0.402533    -0.468093    0.0237341
          174    -0.402533    -0.467716    0.0236003
          175    -0.402533    -0.467344     0.023468
          176    -0.181172    -0.465718    0.0233909
          177    -0.401792    -0.465357    0.0232611
          178    -0.401792       -0.465    0.0231329
          179    -0.401792    -0.464647     0.023006
          180    -0.168932    -0.463004    0.0229367
          181    -0.167715    -0.461372    0.0228679
          182    -0.167715    -0.459759    0.0227991
          183    -0.197184    -0.458324    0.0227195
          184    -0.197184    -0.456905    0.0226402
          185    -0.196815    -0.455499    0.0225614
          186    -0.357717    -0.454973    0.0224459
          187    -0.357717    -0.454453    0.0223316
          188    -0.162399      -0.4529    0.0222667
          189    -0.162399    -0.451362    0.0222019
          190    -0.162399    -0.449842     0.022137
          191    -0.194875    -0.448507    0.0220612
          192    -0.194875    -0.447186    0.0219858
          193    -0.194875    -0.445878    0.0219106
          194    -0.250836    -0.444873    0.0218205
          195    -0.250836    -0.443878    0.0217311
          196    -0.203142     -0.44265    0.0216548
          197    -0.203142    -0.441434    0.0215789
          198    -0.523616    -0.441849    0.0214737
          199    -0.523616     -0.44226    0.0213694
          200    -0.523616    -0.442667    0.0212662
          201    -0.523616    -0.443069     0.021164
          202    -0.963584    -0.445646     0.021216
          203    -0.244332    -0.444655    0.0211345
          204    -0.244332    -0.443673    0.0210536
          205    -0.244332      -0.4427    0.0209732
          206    -0.244332    -0.441737    0.0208933
          207    -0.157659    -0.440365    0.0208374
          208    -0.157659    -0.439006    0.0207814
          209    -0.380155    -0.438724    0.0206837
          210    -0.380155    -0.438445    0.0205868
          211    -0.257156    -0.437586    0.0205071
          212    -0.257156    -0.436735    0.0204278
          213    -0.257156    -0.435892    0.0203492
          214    -0.201461    -0.434796    0.0202835
          215    -0.965689    -0.437266    0.0203393
          216    -0.188256    -0.436113    0.0202778
          217    -0.538675    -0.436585    0.0201896
          218    -0.538675    -0.437054    0.0201023
          219    -0.538675    -0.437518    0.0200156
          220    -0.466458    -0.437649    0.0199249
          221    -0.466458     -0.43778     0.019835
          222    -0.466458    -0.437909    0.0197458
          223    -0.544004    -0.438385    0.0196628
          224    -0.544004    -0.438856    0.0195805
          225    -0.503863    -0.439145    0.0194955
          226    -0.503863    -0.439431    0.0194111
          227    -0.503863    -0.439715    0.0193275
          228    -0.503863    -0.439997    0.0192446
          229    -0.173854    -0.438834    0.0191956
          230    -0.157445    -0.437611    0.0191511
          231    -0.157445    -0.436398    0.0191065
          232    -0.172333     -0.43526     0.019058
          233    -0.218414    -0.434329    0.0189988
          234    -0.218414    -0.433407      0.01894
          235    -0.218414    -0.432492    0.0188814
          236    -0.218414    -0.431585    0.0188231
          237    -0.197365    -0.430596    0.0187695
          238    -0.166984    -0.429489    0.0187233
          239    -0.227074    -0.428642     0.018664
          240    -0.821349    -0.430278     0.018658
          241    -0.821349    -0.431901    0.0186511
          242     -0.93164    -0.433966    0.0186883
          243    -0.445504    -0.434013    0.0186113
          244    -0.256945    -0.433288    0.0185491
          245    -0.642502    -0.434142    0.0184929
          246    -0.642502    -0.434989    0.0184371
          247    -0.642502    -0.435829    0.0183815
          248    -0.685918    -0.436837     0.018335
          249    -0.649914    -0.437693    0.0182812
          250     -1.00966    -0.439981    0.0183511
          251     -1.00966     -0.44225    0.0184182
          252    -0.582694    -0.442808    0.0183535
          253    -0.969865    -0.444891    0.0183991
          254    -0.568692    -0.445378     0.018333
          255    -0.160939    -0.444263     0.018295
          256    -0.160939    -0.443156     0.018257
          257    -0.160939    -0.442058    0.0182189
          258    -0.705521    -0.443079    0.0181769
          259    -0.705521    -0.444092    0.0181349
          260    -0.705521    -0.445098     0.018093
          261    -0.705521    -0.446096    0.0180511
          262    -0.705521    -0.447086    0.0180093
          263    -0.705521    -0.448069    0.0179676
          264    -0.705521    -0.449044     0.017926
          265    -0.705521    -0.450012    0.0178844
          266    -0.619712     -0.45065    0.0178285
          267    -0.619712    -0.451283    0.0177728
          268    -0.619712    -0.451911    0.0177175
          269    -0.619712    -0.452535    0.0176626
          270    -0.446477    -0.452513    0.0175971
          271    -0.997968    -0.454525    0.0176472
          272    -0.622617    -0.455143     0.017593
          273    -0.622617    -0.455757    0.0175392
          274    -0.622617    -0.456366    0.0174857
          275    -0.622617     -0.45697    0.0174325
          276    -0.398411    -0.456758    0.0173705
          277    -0.398411    -0.456547    0.0173089
          278    -0.398411    -0.456338    0.0172478
          279    -0.398411    -0.456131    0.0171871
          280    -0.835156    -0.457484    0.0171791
          281    -0.835156    -0.458828    0.0171705
          282    -0.835156    -0.460163    0.0171615
          283    -0.234193    -0.459364    0.0171194
          284    -0.539815    -0.459648    0.0170613
          285     -0.30041    -0.459089    0.0170105
          286     -0.30041    -0.458534      0.01696
          287     -0.30041    -0.457983    0.0169098
          288     -0.30041    -0.457436    0.0168599
          289     -0.30041    -0.456893    0.0168102
          290     -0.30041    -0.456353    0.0167608
          291    -0.552592    -0.456684    0.0167064
          292    -0.158476    -0.455663    0.0166804
          293    -0.158864     -0.45465    0.0166542
          294    -0.158864    -0.453644    0.0166279
          295    -0.544344    -0.453951    0.0165743
          296    -0.285316    -0.453381     0.016528
          297    -0.224118    -0.452609    0.0164904
          298    -0.224118    -0.451843    0.0164528
          299     -0.15797     -0.45086    0.0164271
          300     -0.15797    -0.449883    0.0164014
          301     -0.15797    -0.448914    0.0163755
          302     -0.15797     -0.44795    0.0163496
          303     -0.15797    -0.446993    0.0163237
          304    -0.336404    -0.446629    0.0162739
          305    -0.336404    -0.446268    0.0162245
          306    -0.644163    -0.446915    0.0161843
          307    -0.644163    -0.447557    0.0161443
          308    -0.644163    -0.448196    0.0161045
          309    -0.161961    -0.447269     0.016079
          310     -0.64348    -0.447902    0.0160395
          311     -0.64348    -0.448531    0.0160002
          312     -0.60936    -0.449047    0.0159572
          313    -0.620822    -0.449595    0.0159156
          314    -0.620822    -0.450141    0.0158742
          315    -0.620822    -0.450683     0.015833
          316    -0.379228    -0.450456    0.0157844
          317    -0.991316    -0.452163    0.0158268
          318    -0.713308    -0.452984    0.0157983
          319    -0.833524    -0.454177    0.0157938
          320    -0.833524    -0.455362    0.0157889
          321    -0.972262    -0.456972    0.0158218
          322    -0.207358    -0.456197    0.0157917
          323    -0.207358    -0.455427    0.0157615
          324    -0.241615    -0.454767    0.0157267
          325     -0.63807    -0.455331    0.0156883
          326     -0.63807    -0.455891    0.0156502
          327     -0.63807    -0.456449    0.0156122
          328     -0.63807    -0.457002    0.0155744
          329    -0.266988    -0.456425    0.0155377
          330    -0.266988    -0.455851    0.0155012
          331    -0.266988     -0.45528    0.0154648
          332    -0.266988    -0.454713    0.0154286
          333    -0.477173     -0.45478    0.0153823
          334    -0.160639      -0.4539    0.0153615
          335    -0.160639    -0.453024    0.0153405
          336    -0.160639    -0.452154    0.0153196
          337    -0.160639    -0.451289    0.0152985
          338    -0.741807    -0.452149    0.0152774
          339    -0.741807    -0.453003    0.0152562
