#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.455811    0.455811           0
           2    0.456401    0.456106 0.000208386
           3    0.477259    0.463157  0.00575873
           4    0.486739    0.469053  0.00668746
           5    0.441152    0.463472  0.00731663
           6    0.452709    0.461678  0.00631329
           7    0.461873    0.461706  0.00541145
           8    0.476481    0.463553  0.00504034
           9    0.470317    0.464305  0.00453599
          10    0.479561     0.46583  0.00433135
          11    0.457793      0.4651  0.00399875
          12    0.462853    0.464912   0.0036699
          13    0.451768    0.463901  0.00352413
          14    0.467353    0.464148  0.00328102
          15    0.450908    0.463265  0.00317879
          16    0.459748    0.463045  0.00298771
          17    0.469984    0.463454  0.00283971
          18    0.461139    0.463325  0.00268486
          19    0.464693    0.463397  0.00254451
          20    0.448376    0.462646   0.0025257
