#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.816325   -0.816325           0
           2   -0.813761   -0.815043 0.000906709
           3   -0.812491   -0.814192 0.000920807
           4   -0.811866   -0.813611 0.000854752
           5   -0.812538   -0.813396 0.000710212
           6   -0.813301    -0.81338 0.000592022
           7   -0.809021   -0.812758 0.000768069
           8   -0.813123   -0.812803  0.00067342
           9   -0.809779   -0.812467 0.000677243
          10   -0.813268   -0.812547 0.000614234
          11   -0.813066   -0.812595 0.000560202
          12   -0.814038   -0.812715  0.00052627
          13   -0.812988   -0.812736 0.000486207
          14   -0.818395    -0.81314 0.000596283
          15   -0.814558   -0.813235  0.00056397
          16   -0.815103   -0.813351 0.000540676
          17   -0.810892   -0.813207 0.000527866
          18    -0.81093    -0.81308 0.000513469
          19   -0.814841   -0.813173 0.000494733
          20   -0.809646   -0.812996 0.000500446
