#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892624   -0.892624           0
           2   -0.892684   -0.892654 2.12132e-05
           3   -0.893616   -0.892975 0.000262205
           4   -0.890228   -0.892288 0.000626343
           5   -0.887284   -0.891287  0.00102584
           6   -0.894632   -0.891845 0.000994875
           7   -0.886512   -0.891083  0.00110663
           8    -0.88662   -0.890525  0.00109996
           9   -0.894276   -0.890942  0.00105375
          10   -0.895372   -0.891385  0.00103733
          11   -0.893712   -0.891596 0.000964359
          12   -0.888856   -0.891368 0.000910633
          13    -0.89274   -0.891474 0.000846678
          14   -0.888428   -0.891256 0.000813668
          15    -0.89012    -0.89118  0.00076294
          16   -0.891304   -0.891188 0.000715295
          17   -0.900512   -0.891736 0.000858107
          18   -0.887448   -0.891498  0.00084286
          19   -0.891344    -0.89149 0.000798538
          20   -0.891612   -0.891496 0.000758635
