#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.000882   -0.000882           0
           2   -0.033134   -0.017008   0.0114028
           3    0.013722 -0.00676467   0.0113022
           4   -0.030728  -0.0127555  0.00993835
           5   -0.054354  -0.0210752   0.0108898
           6   -0.002842  -0.0180363  0.00948935
           7     0.04919 -0.00843257   0.0120505
           8   -0.049502  -0.0135662   0.0115862
           9    0.076788 -0.00352689   0.0139877
          10   -0.070246  -0.0101988   0.0140906
          11    0.015578 -0.00785545    0.013003
          12   -0.116538  -0.0169123   0.0147399
          13    0.075026 -0.00984015   0.0152083
          14   -0.099776  -0.0162641   0.0154192
          15     0.06459  -0.0108739   0.0153044
          16    0.076774 -0.00539588   0.0152969
          17   -0.029326 -0.00680353   0.0144617
          18    -0.02797 -0.00797944    0.013706
          19   -0.012754 -0.00823074   0.0129869
          20   -0.015498  -0.0085941   0.0123427
