#   N_BLOCK:  ACCEPTANCE:
           1    0.106269
           2    0.106471
           3     0.10801
           4    0.109236
           5    0.108414
           6     0.10786
           7    0.108197
           8    0.108338
           9    0.107966
          10    0.107496
          11    0.107706
          12    0.107272
          13    0.107589
          14    0.107889
          15    0.107931
          16    0.107951
          17    0.108222
          18    0.108114
          19    0.107766
          20    0.107775
