#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.238988    0.238988           0
           2    0.234034    0.236511  0.00175165
           3    0.229787     0.23427  0.00217078
           4    0.228331    0.232785  0.00207459
           5    0.227411     0.23171  0.00191797
           6    0.231804    0.231726  0.00159837
           7    0.230614    0.231567   0.0013779
           8    0.233163    0.231766  0.00122002
           9    0.234714    0.232094  0.00112758
          10    0.232131    0.232098  0.00101482
          11    0.232354    0.232121 0.000922836
          12    0.233156    0.232207 0.000849953
          13    0.232243     0.23221 0.000784576
          14    0.229411     0.23201 0.000753576
          15    0.233033    0.232078 0.000706417
          16    0.233458    0.232165 0.000667507
          17    0.231755     0.23214 0.000628676
          18    0.233442    0.232213 0.000597893
          19    0.235912    0.232407 0.000597281
          20    0.230903    0.232332 0.000572133
