#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
          178       3.3038      11.9305     0.801962
          179      1.35779      11.8715     0.799654
          180      3.92097      11.8273     0.796425
          181     0.655368      11.7656     0.794414
          182     0.655368      11.7045     0.792392
          183     0.655368      11.6441     0.790359
          184     0.848345      11.5855     0.788239
          185     0.848345      11.5274     0.786112
          186     0.848345        11.47     0.783979
          187     0.848345      11.4132     0.781842
          188     0.848345       11.357       0.7797
          189     0.848345      11.3014     0.777554
          190     0.848345      11.2464     0.775405
          191     0.848345       11.192     0.773253
          192     0.848345      11.1381     0.771099
          193     0.848345      11.0848     0.768944
          194      2.27731      11.0394     0.766316
          195      2.27731      10.9944     0.763699
          196      1.75339      10.9473     0.761254
          197      1.63888         10.9     0.758853
          198      1.63888      10.8533     0.756458
          199      1.73903      10.8075     0.754039
          200     0.454841      10.7557     0.752043
          201     0.454841      10.7045     0.750045
          202     0.454841      10.6537     0.748046
          203     0.454841      10.6035     0.746045
          204     0.454841      10.5537     0.744044
          205     0.454841      10.5045     0.742043
          206      2.49407      10.4656     0.739455
          207      2.49407      10.4271     0.736881
          208       2.0159      10.3866     0.734444
          209       2.0159      10.3466     0.732018
          210      1.71198      10.3055     0.729683
          211     0.969628      10.2612     0.727563
          212     0.969628      10.2174     0.725448
          213     0.969628       10.174     0.723339
          214     0.969628       10.131     0.721234
          215     0.969628      10.0884     0.719135
          216     0.969628      10.0461     0.717042
          217     0.969628      10.0043     0.714955
          218     0.969628      9.96286     0.712873
          219     0.969628       9.9218     0.710798
          220     0.969628      9.88111     0.708729
          221     0.969628      9.84078     0.706666
          222     0.969628      9.80082      0.70461
          223     0.969628      9.76122      0.70256
          224     0.969628      9.72197     0.700517
          225     0.969628      9.68307      0.69848
          226     0.969022      9.64452     0.696451
          227     0.969022       9.6063     0.694429
          228     0.721608      9.56733     0.692473
          229     0.721608       9.5287     0.690524
          230     0.721608      9.49041     0.688581
          231     0.721608      9.45245     0.686644
          232      2.10018      9.42076     0.684412
          233      2.04658      9.38911     0.682202
          234      2.04658      9.35773     0.680005
          235      1.56056      9.32455     0.677918
          236      1.56056      9.29165      0.67584
          237      1.56056      9.25903     0.673773
          238      1.56056      9.22669     0.671715
          239      1.56056      9.19461     0.669667
          240      1.56056       9.1628     0.667629
          241      1.56056      9.13126     0.665601
          242      2.01524      9.10185     0.663497
          243      1.05693      9.06875      0.66159
          244      1.05693      9.03591      0.65969
          245     0.817664      9.00237     0.657848
          246     0.817664       8.9691     0.656013
          247      1.06619       8.9371     0.654134
          248      1.06619      8.90536     0.652264
          249      1.06619      8.87388     0.650402
          250      1.06619      8.84265     0.648547
          251      1.06619      8.81167     0.646701
          252     0.992039      8.78064     0.644876
          253     0.992039      8.74985      0.64306
          254     0.992039      8.71931     0.641251
          255      1.73278      8.69191     0.639318
          256      1.73278      8.66473     0.637396
          257      2.20495      8.63959     0.635408
          258      2.37363      8.61531     0.633407
          259      2.99692      8.59361     0.631329
          260      2.99692      8.57209     0.629264
          261      2.99692      8.55073     0.627213
          262      2.99692      8.52953     0.625174
          263       3.0523       8.5087      0.62314
          264       3.0523      8.48804     0.621119
          265       3.0523      8.46752     0.619111
          266       3.0523      8.44716     0.617115
          267       3.0523      8.42696     0.615131
          268       3.0523       8.4069      0.61316
          269       3.0523        8.387       0.6112
          270       3.0523      8.36724     0.609253
          271      3.17399      8.34808     0.607303
          272      1.27642      8.32208     0.605624
          273      1.27642      8.29627     0.603953
          274      1.27642      8.27065      0.60229
          275      1.27642      8.24522     0.600635
          276      1.27642      8.21997     0.598987
          277     0.674954      8.19273     0.597442
          278     0.674954      8.16569     0.595903
          279     0.674954      8.13884      0.59437
          280     0.674954      8.11218     0.592843
          281     0.674954      8.08572     0.591322
          282     0.674954      8.05944     0.589807
          283     0.674954      8.03334     0.588298
          284     0.674954      8.00743     0.586796
          285     0.674954       7.9817     0.585299
          286     0.674954      7.95616     0.583808
          287     0.674954      7.93079     0.582323
          288     0.674954      7.90559     0.580844
          289     0.674954      7.88057     0.579371
          290     0.674954      7.85573     0.577905
          291     0.674954      7.83105     0.576444
          292      1.03453      7.80777     0.574937
          293      1.03453      7.78466     0.573438
          294     0.957488      7.76144     0.571956
          295     0.957488      7.73837      0.57048
          296     0.957488      7.71546     0.569011
          297     0.957488      7.69271     0.567548
          298     0.957488      7.67011     0.566092
          299      2.00231      7.65115     0.564514
          300      2.00231      7.63232     0.562944
          301      2.00231      7.61362     0.561382
          302      2.10413      7.59537     0.559817
          303      1.73394      7.57603     0.558302
          304      1.73394      7.55681     0.556794
          305      1.73394      7.53772     0.555294
          306      2.99635      7.52288     0.553675
          307      2.99635      7.50814     0.552066
          308      2.85102      7.49301     0.550478
          309      2.85102      7.47799     0.548899
          310      2.85102      7.46307     0.547329
          311       2.3881      7.44675     0.545811
          312      1.37451      7.42729     0.544406
          313      1.37451      7.40795     0.543009
          314      2.98842      7.39387      0.54146
          315      2.98842      7.37989     0.539919
          316      3.28902      7.36694     0.538363
          317      2.51886      7.35165      0.53688
          318      2.51886      7.33645     0.535405
          319      2.51886      7.32135     0.533938
          320      1.77561      7.30402     0.532549
          321      1.65242      7.28641     0.531179
