#   N_BLOCK:  ACCEPTANCE:
           1    0.238565
           2    0.238335
           3     0.23812
           4    0.237999
           5    0.237601
           6    0.237453
           7    0.237652
           8    0.238062
           9    0.238285
          10    0.238204
          11    0.238317
          12    0.238218
          13    0.238153
          14    0.238258
          15    0.238081
          16    0.237957
          17    0.238043
          18    0.238094
          19    0.238031
          20    0.238051
