#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.651406   -0.651406           0
           2   -0.648412   -0.649909  0.00105857
           3   -0.650204   -0.650007 0.000710264
           4   -0.649968   -0.649997 0.000532765
           5   -0.651058   -0.650209 0.000466529
           6   -0.647148   -0.649699 0.000606702
           7   -0.650499   -0.649813 0.000530692
           8   -0.650041   -0.649842 0.000465116
           9   -0.647706   -0.649605 0.000470094
          10   -0.646831   -0.649327 0.000498227
          11   -0.649166   -0.649313 0.000453151
          12   -0.650945   -0.649449 0.000435333
          13   -0.650965   -0.649565 0.000417174
          14   -0.648203   -0.649468 0.000398566
          15   -0.646718   -0.649285 0.000412006
          16    -0.65163   -0.649431 0.000411507
          17   -0.650023   -0.649466 0.000388769
          18   -0.649087   -0.649445 0.000367741
          19   -0.650483     -0.6495 0.000352419
          20   -0.647151   -0.649382 0.000353817
