#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.083886    0.083886           0
           2    0.081782    0.082834 0.000743876
           3    0.076984    0.080884  0.00166761
           4    0.071804    0.078614  0.00233001
           5    0.073692   0.0776296   0.0020615
           6    0.066802    0.075825  0.00238013
           7    0.075372   0.0757603    0.002041
           8    0.083442   0.0767205  0.00199902
           9    0.071306   0.0761189  0.00186524
          10    0.067156   0.0752226  0.00188178
          11    0.062678   0.0740822  0.00202703
          12    0.071458   0.0738635  0.00186987
          13    0.083034   0.0745689  0.00185433
          14    0.088938   0.0755953  0.00198571
          15    0.060898   0.0746155  0.00208107
          16    0.076698   0.0747456  0.00195507
          17    0.062734   0.0740391   0.0019636
          18    0.065546   0.0735672  0.00191036
          19    0.070734   0.0734181  0.00181562
          20    0.075762   0.0735353  0.00172862
