#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.347066    0.347066           0
           2    0.353615    0.350341  0.00231543
           3    0.341508    0.347397  0.00285692
           4    0.345176    0.346841  0.00219598
           5    0.352925    0.348058  0.00206651
           6    0.357821    0.349685  0.00227415
           7    0.338501    0.348087  0.00244698
           8    0.355959    0.349071  0.00233055
           9    0.348216    0.348976  0.00207354
          10    0.347553    0.348834  0.00187106
          11    0.353231    0.349234  0.00174315
          12    0.338964    0.348378  0.00179572
          13    0.351789     0.34864  0.00167665
          14    0.355843    0.349155  0.00163392
          15    0.351173    0.349289  0.00153052
          16    0.345949    0.349081  0.00144903
          17    0.351202    0.349205  0.00136916
          18    0.346325    0.349045  0.00130241
          19    0.354091    0.349311  0.00126065
          20    0.342389    0.348965  0.00124422
