#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         128  -0.0466371  -0.0449512 6.51173e-05
         129  -0.0466796  -0.0449646 6.59765e-05
         130  -0.0467274  -0.0449782 6.68479e-05
         131  -0.0467709  -0.0449919 6.77238e-05
         132  -0.0468172  -0.0450057  6.8608e-05
         133   -0.046864  -0.0450197 6.95003e-05
         134  -0.0469136  -0.0450338 7.04041e-05
         135   -0.046959  -0.0450481 7.13122e-05
         136  -0.0470072  -0.0450625 7.22282e-05
         137  -0.0470583   -0.045077 7.31553e-05
         138  -0.0471075  -0.0450918 7.40901e-05
         139  -0.0471572  -0.0451066 7.50323e-05
         140   -0.047205  -0.0451216 7.59787e-05
         141  -0.0472557  -0.0451367 7.69326e-05
         142  -0.0473069   -0.045152  7.7894e-05
         143  -0.0473562  -0.0451674 7.88597e-05
         144  -0.0474061   -0.045183 7.98297e-05
         145  -0.0474612  -0.0451987 8.08105e-05
         146  -0.0475121  -0.0452145 8.17957e-05
         147  -0.0475635  -0.0452305 8.27854e-05
         148  -0.0476154  -0.0452466 8.37796e-05
         149  -0.0476703  -0.0452629 8.47817e-05
         150  -0.0477186  -0.0452793 8.57826e-05
         151  -0.0477722  -0.0452958 8.67886e-05
         152  -0.0478239  -0.0453124 8.77969e-05
         153  -0.0478786  -0.0453292 8.88107e-05
         154  -0.0479339  -0.0453461 8.98301e-05
         155  -0.0479897  -0.0453632 9.08552e-05
         156  -0.0480532  -0.0453804 9.18947e-05
         157  -0.0481078  -0.0453978 9.29369e-05
         158  -0.0481631  -0.0454153 9.39822e-05
         159   -0.048226   -0.045433 9.50391e-05
         160  -0.0482872  -0.0454508 9.61047e-05
         161  -0.0483466  -0.0454688 9.71763e-05
         162  -0.0484066  -0.0454869  9.8254e-05
         163  -0.0484672  -0.0455052 9.93378e-05
         164  -0.0485309  -0.0455236 0.000100431
         165  -0.0485904  -0.0455422 0.000101527
         166  -0.0486553   -0.045561 0.000102633
         167  -0.0487209  -0.0455799 0.000103748
         168  -0.0487847   -0.045599  0.00010487
         169  -0.0488492  -0.0456182 0.000105998
         170   -0.048912  -0.0456376  0.00010713
         171  -0.0489779  -0.0456571  0.00010827
         172  -0.0490444  -0.0456768 0.000109417
         173  -0.0491069  -0.0456966 0.000110566
         174  -0.0491772  -0.0457166 0.000111726
         175  -0.0492458  -0.0457368 0.000112893
         176  -0.0493176  -0.0457572  0.00011407
         177    -0.04939  -0.0457777 0.000115257
         178  -0.0494608  -0.0457984 0.000116452
         179  -0.0495324  -0.0458192 0.000117655
         180  -0.0496047  -0.0458403 0.000118866
         181  -0.0496778  -0.0458615 0.000120085
         182  -0.0497516  -0.0458828 0.000121313
         183  -0.0498262  -0.0459044 0.000122549
         184  -0.0498992  -0.0459261 0.000123791
         185  -0.0499754   -0.045948 0.000125042
         186  -0.0500548  -0.0459701 0.000126304
         187  -0.0501326  -0.0459923 0.000127575
         188  -0.0502089  -0.0460148 0.000128853
         189  -0.0502789  -0.0460373 0.000130131
         190  -0.0503616  -0.0460601 0.000131422
         191  -0.0504452   -0.046083 0.000132724
         192  -0.0505273  -0.0461062 0.000134036
         193  -0.0506103  -0.0461295 0.000135358
         194  -0.0506894   -0.046153 0.000136686
         195  -0.0507765  -0.0461767 0.000138026
         196  -0.0508599  -0.0462006 0.000139374
         197  -0.0509442  -0.0462247 0.000140732
         198  -0.0510341   -0.046249 0.000142102
         199   -0.051125  -0.0462735 0.000143484
         200  -0.0512122  -0.0462982 0.000144876
