#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         196           1    0.941633  0.00981009
         197           1    0.941929  0.00976477
         198           1    0.942222  0.00971986
         199           1    0.942513  0.00967535
         200           1      0.9428  0.00963124
         201           1    0.943085  0.00958753
         202           1    0.943366   0.0095442
         203           1    0.943645  0.00950126
         204           1    0.943922   0.0094587
         205           1    0.944195  0.00941652
         206           1    0.944466   0.0093747
         207           1    0.944734  0.00933325
         208           1       0.945  0.00929216
         209           1    0.945263  0.00925143
         210           1    0.945524  0.00921105
         211           1    0.945782  0.00917101
         212           1    0.946038  0.00913131
         213           1    0.946291  0.00909196
         214           1    0.946542  0.00905294
         215           1    0.946791  0.00901424
         216           1    0.947037  0.00897588
         217           1    0.947281  0.00893783
         218           1    0.947523   0.0089001
         219           1    0.947763  0.00886269
         220           1       0.948  0.00882558
         221           1    0.948235  0.00878878
         222           1    0.948468  0.00875229
         223           1      0.9487  0.00871609
         224           1    0.948929  0.00868019
         225           1    0.949156  0.00864458
         226           1    0.949381  0.00860925
         227           1    0.949604  0.00857421
         228           1    0.949825  0.00853946
         229           1    0.950044  0.00850498
         230           1    0.950261  0.00847077
         231           1    0.950476  0.00843684
         232           1     0.95069  0.00840317
         233           1    0.950901  0.00836977
         234           1    0.951111  0.00833663
         235           1    0.951319  0.00830375
         236           1    0.951525  0.00827113
         237           1     0.95173  0.00823876
         238           1    0.951933  0.00820664
         239           1    0.952134  0.00817476
         240           1    0.952333  0.00814314
         241           1    0.952531  0.00811175
         242           1    0.952727   0.0080806
         243           1    0.952922  0.00804969
         244           1    0.953115  0.00801901
         245           1    0.953306  0.00798856
         246           1    0.953496  0.00795834
         247           1    0.953684  0.00792835
         248           1    0.953871  0.00789858
         249           1    0.954056  0.00786903
         250           1     0.95424   0.0078397
         251           1    0.954422  0.00781059
         252           1    0.954603  0.00778168
         253           1    0.954783    0.007753
         254           1    0.954961  0.00772452
         255           1    0.955137  0.00769624
         256           1    0.955313  0.00766817
         257           1    0.955486  0.00764031
         258           1    0.955659  0.00761264
         259           1     0.95583  0.00758517
         260           1       0.956   0.0075579
         261           1    0.956169  0.00753083
         262           1    0.956336  0.00750394
         263           1    0.956502  0.00747724
         264           1    0.956667  0.00745074
         265           1     0.95683  0.00742441
         266           1    0.956992  0.00739828
         267           1    0.957154  0.00737232
         268           1    0.957313  0.00734655
         269           1    0.957472  0.00732095
         270           1     0.95763  0.00729553
         271           1    0.957786  0.00727028
         272           1    0.957941  0.00724521
         273           1    0.958095  0.00722031
         274           1    0.958248  0.00719558
         275           1      0.9584  0.00717101
         276           1    0.958551  0.00714661
         277           1      0.9587  0.00712238
         278           1    0.958849  0.00709831
         279           1    0.958996   0.0070744
         280           1    0.959143  0.00705065
         281           1    0.959288  0.00702706
         282           1    0.959433  0.00700362
         283           1    0.959576  0.00698034
         284           1    0.959718  0.00695721
         285           1     0.95986  0.00693424
         286           1        0.96  0.00691141
         287           1    0.960139  0.00688874
         288           1    0.960278  0.00686621
         289           1    0.960415  0.00684382
         290           1    0.960552  0.00682159
         291           1    0.960687  0.00679949
         292           1    0.960822  0.00677754
         293           1    0.960956  0.00675572
         294           1    0.961088  0.00673405
         295           1     0.96122  0.00671252
         296           1    0.961351  0.00669112
         297           1    0.961481  0.00666985
         298           1    0.961611  0.00664872
         299           1    0.961739  0.00662773
         300           1    0.961867  0.00660686
         301           1    0.961993  0.00658613
         302           1    0.962119  0.00656552
         303           1    0.962244  0.00654504
         304           1    0.962368  0.00652469
         305           1    0.962492  0.00650446
         306           1    0.962614  0.00648436
         307           1    0.962736  0.00646438
         308           1    0.962857  0.00644453
         309           1    0.962977  0.00642479
         310           1    0.963097  0.00640518
         311           1    0.963215  0.00638568
         312           1    0.963333   0.0063663
         313           1     0.96345  0.00634704
         314           1    0.963567  0.00632789
         315           1    0.963683  0.00630886
         316           1    0.963797  0.00628994
         317           1    0.963912  0.00627114
         318           1    0.964025  0.00625245
         319           1    0.964138  0.00623386
         320           1     0.96425  0.00621539
         321           1    0.964361  0.00619702
         322           1    0.964472  0.00617877
         323           1    0.964582  0.00616062
         324           1    0.964691  0.00614257
         325           1      0.9648  0.00612463
         326           1    0.964908   0.0061068
         327           1    0.965015  0.00608906
         328           1    0.965122  0.00607143
         329           1    0.965228  0.00605391
         330           1    0.965333  0.00603648
         331           1    0.965438  0.00601915
         332           1    0.965542  0.00600192
         333           1    0.965646  0.00598479
         334           1    0.965749  0.00596775
         335           1    0.965851  0.00595081
         336           1    0.965952  0.00593397
         337           1    0.966053  0.00591722
         338           1    0.966154  0.00590057
         339           1    0.966254  0.00588401
         340           1    0.966353  0.00586754
         341           1    0.966452  0.00585116
         342           1     0.96655  0.00583487
         343           1    0.966647  0.00581868
         344           1    0.966744  0.00580257
         345           1    0.966841  0.00578655
         346           1    0.966936  0.00577062
         347           1    0.967032  0.00575478
         348           1    0.967126  0.00573902
         349           1    0.967221  0.00572335
         350           1    0.967314  0.00570776
         351           1    0.967407  0.00569226
         352           1      0.9675  0.00567684
         353           1    0.967592  0.00566151
         354           1    0.967684  0.00564626
         355           1    0.967775  0.00563109
         356           1    0.967865    0.005616
         357           1    0.967955  0.00560099
         358           1    0.968045  0.00558606
         359           1    0.968134   0.0055712
         360           1    0.968222  0.00555643
         361           1     0.96831  0.00554174
         362           1    0.968398  0.00552712
         363           1    0.968485  0.00551258
         364           1    0.968571  0.00549811
         365           1    0.968658  0.00548373
         366           1    0.968743  0.00546941
         367           1    0.968828  0.00545517
         368           1    0.968913  0.00544101
         369           1    0.968997  0.00542691
         370           1    0.969081  0.00541289
         371           1    0.969164  0.00539894
         372           1    0.969247  0.00538507
         373           1     0.96933  0.00537126
         374           1    0.969412  0.00535752
         375           1    0.969493  0.00534386
         376           1    0.969574  0.00533026
         377           1    0.969655  0.00531673
         378           1    0.969735  0.00530328
         379           1    0.969815  0.00528988
         380           1    0.969895  0.00527656
         381           1    0.969974   0.0052633
         382           1    0.970052  0.00525011
         383           1    0.970131  0.00523698
         384           1    0.970208  0.00522392
         385           1    0.970286  0.00521093
         386           1    0.970363    0.005198
