#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.498697    0.498697           0
           2    0.467977    0.483337   0.0108613
           3    0.526524    0.497733   0.0138052
           4     0.52288    0.504019   0.0116981
           5    0.468421      0.4969   0.0113196
           6    0.505984    0.498414   0.0095337
           7    0.490642    0.497303  0.00823613
           8    0.507021    0.498518  0.00729564
           9    0.503903    0.499117   0.0065095
          10    0.502503    0.499455  0.00586735
          11    0.499705    0.499478    0.005334
          12    0.507999    0.500188  0.00493654
          13    0.472321    0.498044  0.00500062
          14    0.481598     0.49687  0.00477943
          15     0.49704    0.496881  0.00446082
          16    0.481216    0.495902  0.00428811
          17    0.492193    0.495684  0.00404141
          18    0.460994    0.493757  0.00425164
          19     0.50167    0.494173  0.00404822
          20    0.474183    0.493174  0.00396728
