#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.20067     0.20067           0
           2    0.200397    0.200534 9.66585e-05
           3    0.197622    0.199563 0.000795014
           4      0.1934    0.198022  0.00146162
           5     0.19402    0.197222  0.00137106
           6    0.199366    0.197579  0.00118819
           7    0.194807    0.197183  0.00108241
           8    0.200008    0.197536  0.00100304
           9    0.199126    0.197713 0.000907005
          10    0.199016    0.197843 0.000825614
          11     0.19353    0.197451 0.000838522
          12    0.197333    0.197441 0.000768703
          13    0.195831    0.197317 0.000719483
          14    0.194051    0.197084 0.000704895
          15    0.198618    0.197186 0.000665276
          16     0.19752    0.197207 0.000624023
          17    0.198763    0.197299  0.00059399
          18      0.2004    0.197471 0.000585449
          19    0.198691    0.197535 0.000558148
          20    0.193199    0.197318  0.00057079
