#   N_BLOCK:  ACCEPTANCE:
           1     0.06058
           2   0.0615445
           3   0.0650073
           4    0.066941
           5   0.0666666
           6   0.0660987
           7   0.0664903
           8   0.0665489
           9   0.0661291
          10   0.0656148
          11   0.0660597
          12   0.0658217
          13   0.0655624
          14   0.0657964
          15    0.066015
          16   0.0656526
          17   0.0656254
          18   0.0658142
          19   0.0657081
          20   0.0655424
