#   N_BLOCK:  ACCEPTANCE:
           1    0.316097
           2    0.317437
           3    0.317513
           4     0.31767
           5    0.317747
           6    0.317792
           7    0.317773
           8    0.317723
           9    0.317972
          10     0.31771
          11     0.31762
          12    0.317493
          13    0.317353
          14    0.317549
          15    0.317443
          16     0.31737
          17    0.317356
          18    0.317347
          19    0.317283
          20    0.317317
