#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.00414    -0.00414           0
           2    0.007456    0.001658  0.00409981
           3    0.010438  0.00458467  0.00363052
           4    0.008366     0.00553   0.0028433
           5    0.006382   0.0057004  0.00227974
           6    0.012132  0.00677233  0.00213699
           7   -0.006778  0.00483657  0.00256262
           8   -0.003126  0.00384125   0.0024279
           9    0.005322  0.00400578   0.0021637
          10     0.00865   0.0044702  0.00199655
          11    0.003062  0.00434218  0.00181914
          12    0.021566   0.0057775  0.00216083
          13    -0.01556  0.00413615  0.00254269
          14   -0.013128    0.002903  0.00264323
          15    0.003632   0.0029516  0.00246747
          16   -0.005914   0.0023975  0.00237465
          17   -0.004308  0.00200306  0.00226749
          18    0.014616  0.00270378  0.00224718
          19   -0.006488     0.00222  0.00218036
          20   -0.000942   0.0020619  0.00207707
