#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.003394   -0.003394           0
           2    0.000924   -0.001235  0.00152664
           3   -0.001616   -0.001362  0.00102303
           4   -0.006362   -0.002612  0.00132687
           5    0.003706  -0.0013484  0.00155052
           6    0.000346   -0.001066  0.00131757
           7    0.002326-0.000581429  0.00121519
           8    0.005718    0.000206  0.00129349
           9    0.000554 0.000244667  0.00115035
          10    0.004016   0.0006218  0.00109539
          11   -0.004612    0.000146  0.00109428
          12   -0.007326-0.000476667  0.00116687
          13    0.003178-0.000195538  0.00111046
          14      0.0017-6.01429e-05  0.00103936
          15   -0.004084  -0.0003284  0.00100409
          16   -0.009324-0.000890625  0.00108741
          17   -0.004882 -0.00112541  0.00104849
          18   -0.001152 -0.00112689 0.000990237
          19   -0.004798 -0.00132011 0.000956784
          20    0.002172  -0.0011455 0.000924739
