#   N_BLOCK:  ACCEPTANCE:
           1    0.494996
           2    0.495843
           3    0.495719
           4    0.495341
           5    0.495423
           6    0.495745
           7    0.495673
           8    0.495742
           9    0.495792
          10    0.495775
          11    0.495764
          12    0.495603
          13     0.49564
          14    0.495705
          15    0.495736
          16    0.495629
          17    0.495713
          18    0.495655
          19    0.495539
          20    0.495551
