#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.374691    0.374691           0
           2    0.385174    0.379932  0.00370638
           3    0.374569    0.378145  0.00286983
           4    0.377641    0.378019  0.00215513
           5    0.379891    0.378393  0.00175634
           6    0.386768    0.379789  0.00194052
           7    0.373689    0.378917  0.00184867
           8    0.384406    0.379604  0.00174024
           9     0.38156    0.379821   0.0015604
          10      0.3772    0.379559   0.0014262
          11    0.375707    0.379209  0.00133886
          12    0.369291    0.378382  0.00146028
          13    0.385383    0.378921  0.00144384
          14    0.388855     0.37963  0.00150501
          15    0.381519    0.379756  0.00140993
          16    0.374979    0.379458  0.00135305
          17     0.37881    0.379419    0.001274
          18    0.379838    0.379443  0.00120343
          19    0.382048     0.37958  0.00114788
          20     0.37305    0.379253  0.00113597
