#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.013418   -0.013418           0
           2   -0.052384   -0.032901   0.0137766
           3    0.018834   -0.015656   0.0168111
           4    -0.01046   -0.014357   0.0126584
           5    0.029248   -0.005636   0.0127826
           6   -0.012574 -0.00679233   0.0107044
           7   -0.039992  -0.0115351   0.0101717
           8    0.008004 -0.00909275  0.00918882
           9   -0.012908 -0.00951667  0.00817762
          10   -0.024194  -0.0109844  0.00749041
          11    0.036806 -0.00663982  0.00797046
          12    -0.00577 -0.00656733  0.00730659
          13    0.012176 -0.00512554  0.00688533
          14     -0.0142 -0.00577371  0.00642395
          15   -0.002762 -0.00557293  0.00599883
          16   -0.004716 -0.00551937  0.00562414
          17   -0.020638 -0.00640871  0.00536316
          18   -0.003152 -0.00622778  0.00506826
          19      0.0083 -0.00546316  0.00485884
          20    0.006842  -0.0048479  0.00465469
