#   N_BLOCK:  ACCEPTANCE:
           1    0.195888
           2     0.19553
           3    0.195187
           4    0.195338
           5    0.195541
           6    0.195263
           7    0.195235
           8     0.19536
           9    0.195475
          10    0.195331
          11    0.195542
          12    0.195304
          13     0.19511
          14    0.195163
          15     0.19518
          16    0.195114
          17    0.195198
          18    0.195222
          19    0.195149
          20    0.195188
