#   N_BLOCK:  ACCEPTANCE:
           1    0.385851
           2    0.386358
           3    0.386638
           4    0.386319
           5    0.386736
           6    0.386886
           7    0.386985
           8    0.387102
           9    0.387176
          10    0.387005
          11    0.387071
          12     0.38704
          13    0.387067
          14    0.387108
          15    0.387223
          16    0.387233
          17    0.387218
          18     0.38707
          19    0.387025
          20    0.387095
